No.;Time;Comment;Scramble;Date;P.1
1;22.27;;L2 B2 D L2 U' F2 D' L2 B2 U' B U L' R' F' R2 U B L F;2020-05-31 13:33:03;22.27
2;21.29;;B' R' F U L U2 D' R U2 L' D2 R B2 R' U2 R U2 B2 R2 D F';2020-05-31 13:34:03;21.29
3;25.38;;U2 L U2 R2 D2 L' U2 F2 U2 L2 U2 R F' U R U R' D2 F2 L2;2020-05-31 13:34:43;25.38
4;DNF(9.65);;F L2 U2 B' L2 U2 R2 F L2 F' L2 D R2 B L' R B U2 L;2020-05-31 13:35:26;9.65
5;23.78;;U2 L2 U' B2 U2 B2 U B2 D B2 F' R U R' B2 D' U' L' D2;2020-05-31 13:36:23;23.78
6;20.94;;B2 D2 L2 B2 L2 F2 D' F2 L2 R2 D' R D F L R' B' F' D U2 F2;2020-05-31 13:37:27;20.94
7;23.18;;B2 R2 D B2 U R2 B2 D B2 D F2 L' F U' F2 D' F2 R2 F U R2;2020-05-31 13:38:25;23.18
8;26.51;;U2 L' U2 F' D F B2 R' D B U2 F L2 F' D2 F' U2 L2 U2 B';2020-05-31 13:39:16;26.51
9;21.46;;R D' L2 D' R2 U2 L2 B2 D' L2 U' R2 U' B F U' B2 R' U2 B2 U2;2020-05-31 13:40:09;21.46
10;26.25;;L2 B2 D B2 L2 D' B2 L2 B2 U L2 U2 F' R U L2 D' L2 B' L2;2020-05-31 13:41:11;26.25
11;23.47;;L' R2 F2 D F2 L2 D R2 F2 R2 U2 R2 D R' B' D2 L2 D2 R D2;2020-05-31 13:41:56;23.47
12;27.53;;D2 F U2 F' D2 L2 F' L2 R2 U2 B L2 D L' U2 F2 D' F' D' R' U';2020-05-31 13:42:40;27.53
13;25.65;;D2 L2 U F2 U' B2 F2 D' F2 U2 F R2 D' F2 R D' B' R D2;2020-05-31 13:43:26;25.65
14;20.67;;R B' L2 U2 F B2 L U' B2 L2 U2 B2 L2 U' B2 U R2 U' L2 B U2;2020-05-31 13:44:28;20.67
15;19.75;;R B2 D2 U2 L B2 L2 B2 L D2 F2 U L2 B L' U L' R' U2 L;2020-05-31 13:45:08;19.75
16;28.51;;L F2 L2 F L2 B U2 R2 B' U2 L2 B U L2 F' R U F' U' R';2020-05-31 13:45:56;28.51
17;26.20;;B2 L2 F2 R2 U2 L2 U R2 U' F2 U2 L R F R B' F2 R U' B R;2020-05-31 13:46:54;26.20
18;21.77;;F L2 B' U' F2 L2 U F2 U' R2 F2 R2 F2 R' U R2 B2 D L' D2;2020-05-31 13:50:49;21.77
19;19.78;;U2 R B2 U2 R2 D' F2 U' B2 U' F2 D' F2 U B U' F D' R D' B;2020-05-31 13:53:12;19.78
20;19.42;;R' D2 L2 R' B2 D2 B2 F2 R' D2 R D R2 F D2 U' B F R' U;2020-05-31 13:53:58;19.42
21;20.82;;R2 F2 D L2 D F2 R2 U F2 U R2 U' R' F' U' B2 L2 U' L' F';2020-05-31 13:54:38;20.82
22;DNF(32.11);;L' R2 D2 F' L2 B' R2 F2 U2 F' D2 L2 F' R' F2 U B' U2 R' D R;2020-05-31 13:55:29;32.11
23;DNF(36.19);;F2 L2 D B2 U R2 F2 R2 U2 R2 U L' B L F' R' U2 R2 U' R2 F';2020-05-31 13:56:53;36.19
24;22.55;;L F2 L D2 L' B2 D2 R2 B2 U2 R D B F D' F2 U2 B R D2;2020-05-31 13:58:20;22.55
25;20.04;;L' U' B' D2 R' L B' D' L F' U2 B2 U2 R2 F2 R2 F' L2 U2 F R2;2020-05-31 13:59:08;20.04
