No.;Time;Comment;Scramble;Date;P.1
1;19.45;;L F2 D' B2 L F2 D' L2 D' F2 D2 R2 F B2 L2 F D2 B2;2020-06-17 16:57:47;19.45
2;19.10;;F2 R' D2 L U2 L B2 L2 U2 L' D2 R D' B' D' F2 R D' B U' L;2020-06-17 16:58:35;19.10
3;19.94;;B R2 B' L2 B' D2 R2 F2 R2 B D2 R' D R' F L F2 U B2 L';2020-06-17 16:59:19;19.94
4;22.17;;F2 U' F2 D' B2 U B2 L2 B2 F R D' U B U2 B' L F2 U2;2020-06-17 17:00:10;22.17
5;18.17;;L' F' R2 L2 U' L U' L2 F2 D2 F' R2 L2 U2 F' R2 B L2 B' U';2020-06-17 17:02:48;18.17
6;21.64;;U2 F D2 B' L2 B L2 F' D2 F' R2 D' F2 D B L D2 R' F2;2020-06-17 17:03:25;21.64
7;17.61;;L F D' R2 F2 D R2 B2 D2 R2 D' L2 B2 U L' D2 B L' R2 U F2;2020-06-17 17:04:12;17.61
8;21.95;;U2 B2 L2 F' R2 U2 F' R2 D2 B R' D B L2 U2 L B' F L' B;2020-06-17 17:04:47;21.95
9;24.60;;U' F' B' U D R' B2 L' F' R2 L2 F2 L2 U B2 U D2 B2 U;2020-06-17 17:05:55;24.60
10;22.51;;L2 U F2 D F2 L2 U L2 U' L2 D2 F2 R B' F L R2 B R' F' D;2020-06-17 17:06:46;22.51
11;19.82;;B R' U' F2 L2 U' L D' B' U2 D2 F2 U2 D2 R' U2 F2 L' D2 L;2020-06-17 17:07:35;19.82
12;21.55;;D B2 L2 F' D2 L2 F' U2 B R2 F2 D2 U2 R D F' U L' R2 D' F2;2020-06-17 17:08:16;21.55
13;17.03;;B R F' R F2 U B L2 B2 R2 F2 D2 L F2 U2 R' D2 L B' D;2020-06-17 17:09:42;17.03
14;22.02;;L U B D F2 U L' U2 L' B2 U F2 D' L2 D B2 U2 B2 U';2020-06-17 17:11:27;22.02
15;18.11;;B2 L' D2 L F2 R' U2 B2 D2 R' B2 U L D R' B F2 D F2 L2;2020-06-17 17:13:04;18.11
16;22.34;;U F2 L F2 R' D2 L F2 D2 R2 D2 L' R2 D B' R' D B2 U B2 F2;2020-06-17 17:13:39;22.34
17;17.28;;D' F2 D2 B' U2 L2 F R2 U2 B' R2 L U2 F' L U2 R' D R';2020-06-17 17:14:29;17.28
18;24.65;;R2 F' B' U' D B' R L2 B D2 R2 D2 B2 U2 D2 R2 F L2 U' R;2020-06-17 17:15:03;24.65
19;20.22;;R' B R' U D B' R D' R2 U' F2 B2 U' B2 U R2 B2 D2 B2;2020-06-17 17:15:49;20.22
20;20.00;;D2 F U' B R' L2 D F U2 L2 D2 L2 F2 U2 F D2 R2 D2 F' L B2;2020-06-17 17:16:29;20.00
21;20.14;;R U' F' R' U D' L' F2 U B2 D2 B' R2 B D2 B R2 L2 F U2;2020-06-17 17:17:17;20.14
22;20.48;;U2 F R2 F' L2 B U2 B R2 U2 F U2 D L' U F' R F D R' B;2020-06-17 17:17:53;20.48
23;22.49;;R U' F D B L' B' D2 F' L2 F L2 B D2 B' L2 D2 L2 U L';2020-06-17 17:18:37;22.49
24;17.13;;R2 D' R2 U F2 U' B2 D' B2 R2 D2 R B L2 R D F' U F D2;2020-06-17 17:19:18;17.13
25;18.90;;F' B' U' F2 D' L2 B' L2 U' L' D2 L' B2 D2 L' U2 R B2 L2 B2 R;2020-06-17 17:20:03;18.90
