No.;Time;Comment;Scramble;Date;P.1
1;18.19;;L F2 U2 R D2 R' D2 F2 R2 D2 F2 R2 B L D F U2 R2 D B L2;2020-06-22 11:39:41;18.19
2;19.69;;F U2 B2 U2 F2 R' U2 L F2 L B2 R2 U L R' D2 B' U' R2 D F';2020-06-22 11:40:39;19.69
3;21.38;;U2 B' D2 R2 U2 R2 F U2 B F' D' L R2 F' D B' D L2 B2 L;2020-06-22 11:42:42;21.38
4;19.67;;B F2 L U2 R2 B2 U2 L D2 R2 U2 F2 U R B D L' R' U L2 R;2020-06-22 11:43:28;19.67
5;23.84;;B2 R2 F2 D R2 D' F2 U R2 F2 U L2 R B' L' B2 F2 R F' U' B;2020-06-22 11:44:14;23.84
6;21.09;;U F R2 F2 B' D2 R F' U' B2 R2 L2 D F2 L2 U F2 L2 F2 B';2020-06-22 11:45:01;21.09
7;15.85;;L2 R2 B L2 U2 L2 B' F' L2 U2 B U' R' B2 U' R D2 B' L F2;2020-06-22 11:45:41;15.85
8;18.39;;U B2 F2 L2 R2 D' B2 L2 D U' L D2 U' L B' D L R U' L;2020-06-22 11:46:31;18.39
9;19.13;;B' R2 D2 U2 B2 R' B2 D2 R' B2 D2 R' D U B' U' R' F2 R D2;2020-06-22 11:48:04;19.13
10;17.32;;U L F2 U2 F D2 L2 D2 U2 R2 B R2 D' F L' B2 L2 U2 B';2020-06-22 11:48:49;17.32
11;21.11;;D2 U2 L2 F2 U2 R' B2 L' D2 U2 B2 L F' D L2 U R U R' F2 R';2020-06-22 11:49:27;21.11
12;18.24;;D B2 U2 B2 L2 D' B2 D' L2 D B2 U' F L2 B2 F U F2 U' L R';2020-06-22 11:50:06;18.24
13;20.82;;D' F2 D2 B2 L' D2 L R2 F2 L' R' U' B2 L2 U' B' R2 B2 L;2020-06-22 11:50:49;20.82
14;19.40;;U2 B2 D2 F2 L2 D2 B L2 D2 L' F' R2 B F' R' F D R2;2020-06-22 11:51:53;19.40
15;21.86;;L' B2 R2 B' U2 B' F2 L2 R2 D2 B2 U L' D' R2 B2 F2 U L F';2020-06-22 11:52:41;21.86
16;20.81;;L' B' L2 R2 D B2 D2 B2 U B2 U2 R2 B2 R' B R2 U' F L R2 D';2020-06-22 11:53:24;20.81
17;21.04;;R F2 L D2 F2 D2 B2 L R U2 L2 F' D' L' B D B U L D2;2020-06-22 11:54:01;21.04
18;19.78;;B' D' L F2 R2 B2 R U R2 F2 B' R2 D2 F' D2 B' U2 B U2;2020-06-22 11:55:15;19.78
19;18.58;;R2 U' L D2 L2 F2 L' D2 U2 F2 D2 L D2 B' D U2 F L' R' B2;2020-06-22 11:56:00;18.58
20;17.84;;R2 U R' B2 L' B2 L' U R' F L2 D2 B' U2 D2 B D2 B U2 F;2020-06-22 11:56:39;17.84
21;22.10;;R2 U R2 D B2 U' B2 D F2 U F2 U' R F2 D' L2 U' R' U2 R B;2020-06-22 11:57:24;22.10
22;17.88;;R D' F' L2 D2 B R2 U2 B F2 L2 D2 L2 D2 R' D B' U L2 D' F';2020-06-22 11:58:04;17.88
23;20.60;;L2 U' F2 L2 F2 U2 R2 D F2 L2 F2 B' R' F L D F D' L U2 L;2020-06-22 11:58:51;20.60
24;16.18;;D2 L D' L2 F2 U2 L2 F2 R2 D L2 U F2 U L' B2 R F U R' U;2020-06-22 11:59:33;16.18
25;17.49;;F L2 D' F2 D' F2 R2 D2 L2 D2 B2 R B2 U' R2 D' B D2 L' R2;2020-06-22 12:01:18;17.49
