No.;Time;Comment;Scramble;Date;P.1
1;20.28;;U2 L2 U2 B' D2 B L2 B2 R2 U2 D L R2 F' R U R U2 F' D';2020-05-26 13:50:02;20.28
2;21.14;;B2 L U R2 B2 D2 R2 D' L2 D' F2 D B2 F2 L' U' B D2 U F R;2020-05-26 13:50:53;21.14
3;24.60;;L' F U' D L' D' B L2 U2 D R2 D R2 F2 D2 F2 L2 D B U';2020-05-26 13:52:00;24.60
4;17.82;;R2 F2 D2 U' F2 D F2 U' L2 D B2 R F L' F2 R F' D U' R2;2020-05-26 13:52:48;17.82
5;27.79;;F2 L2 U B2 D' U' R2 F2 R2 F2 U' B R U2 L' B' F D B R' D';2020-05-26 13:53:57;27.79
6;21.51;;U' R F L B2 U D' R B U B2 U' R2 U D2 F2 U2 L2 U R2 B2;2020-05-26 13:56:05;21.51
7;25.33;;U' L2 U R2 D2 F2 D' R2 B2 R2 U' B2 F L R' U2 B F' R' U R2;2020-05-26 13:59:04;25.33
8;22.33;;R U B2 U2 L2 F2 R2 D' F2 R2 U' F D B' U2 F' D' L U2 B2;2020-05-26 14:03:26;22.33
9;25.98;;L' B2 R2 D2 B' U' F2 D' L' B2 R2 B L2 B' D2 F2 L2 D2 F' R2;2020-05-26 14:04:13;25.98
10;20.41;;B2 D' U2 R2 D B2 L2 R2 D B2 F2 L2 B D U B R2 F' R D B;2020-05-26 14:05:03;20.41
11;24.49;;R B' D2 L B2 L B2 F2 L2 U2 R B2 R2 D2 F' U2 F' D R' B' R';2020-05-26 14:05:57;24.49
12;DNF(28.97);;R L' F' R' B R2 B' U' L U2 R F2 R2 B2 U2 F2 R' F2 B2 D';2020-05-26 14:07:06;28.97
13;23.18;;U2 B2 D' B' R' B U2 L D B2 R2 U2 L' F2 U2 B2 U2 D2 L' D2 L2;2020-05-26 14:08:25;23.18
14;22.57;;R B' L2 U2 R D2 U2 F2 R' B D F2 D F2 L2 B';2020-05-26 14:09:13;22.57
15;DNF(7.11);;B2 R F' D' R2 F B2 L D B2 D2 B2 R L2 D2 B2 L F2 L B2;2020-05-26 14:10:30;7.11
16;25.54;;F2 L2 D F2 R2 D U F2 R2 U2 F' D2 R2 F R B L' D B F';2020-05-26 14:12:56;25.54
17;23.15;;B U' D B2 L' F' U2 D B2 L2 U2 D R2 L2 B2 D R2 U2 L D';2020-05-26 14:14:01;23.15
18;23.94;;F L2 B' D2 B L2 F' U2 R2 D2 R2 B L' U' B' R' F' D2 F D' B;2020-05-26 14:15:03;23.94
19;20.67;;B' R2 U' L' B2 L D' F' R2 U2 B2 L' U2 D2 B2 L' B2 R2 F2 B2 U';2020-05-26 14:17:31;20.67
20;21.75;;B2 D2 F2 R B2 R2 U2 L2 R' D2 R' D' L2 R F U2 F' U L' F';2020-05-26 14:18:18;21.75
21;19.59;;U' B2 R2 U R2 F2 R2 B2 U2 L2 U2 F D2 L' U B R F L F2;2020-05-26 14:19:27;19.59
22;DNF(22.85);;L B2 L2 U2 F2 D2 U2 L' F2 L2 D2 B D' B' L' U B2 L' B2 F2 L';2020-05-26 14:20:18;22.85
23;22.52+;;B2 R' D B U' L' D' R' U2 D2 F2 R U2 F2 R2 B2 R' U2 D F' D';2020-05-26 14:21:34;20.52
24;22.48;;U2 R' L U L B R' U' B2 D2 R2 U2 B' D2 F2 B' D2 R2 B L';2020-05-26 14:22:25;22.48
25;25.06;;L' B U2 F' R2 F R2 D2 F' R2 D2 F' L' D' U' B D' R2 B2 R2 F;2020-05-26 14:23:29;25.06
