No.;Time;Comment;Scramble;Date;P.1
1;20.99;;L F2 B2 U R' L' U' F' U' L' F2 B2 R' F2 L U2 R2 D2;2020-06-07 12:19:49;20.99
2;20.87;;U2 B2 U2 F2 D' R2 D' L2 F2 U L2 B' F' D' F' D2 R' D2 L U F2;2020-06-07 12:20:38;20.87
3;22.03;;D' B' F' L2 D2 U2 B2 R2 B L2 R2 D2 R' B L2 D' R2 U L F2;2020-06-07 12:21:22;22.03
4;30.13;;F' U F R2 F2 L2 U2 B' D2 B2 D2 R2 F' L2 D U2 L D B' D' R;2020-06-07 12:22:04;30.13
5;26.87;;B D' R2 F2 D' L2 F2 L2 F2 U2 F2 L D' F2 U L' F2 R' F';2020-06-07 12:22:59;26.87
6;22.58;;D' L U' R' L2 B D F' R B' D F2 U B2 L2 F2 U B2 R2 U' B2;2020-06-07 12:23:57;22.58
7;21.79;;R2 B2 R2 F2 U' L2 D2 U B2 U' F R U' L U2 L F D U';2020-06-07 12:24:44;21.79
8;19.37;;U' R' F2 B2 D2 L' U' F U2 D B2 L2 U F2 B2 U2 F2 D F2 L;2020-06-07 12:25:24;19.37
9;20.50;;B2 D B2 D' L2 U F2 R2 B2 U' B2 U2 L' B U' B2 F2 U B2 L2 R';2020-06-07 12:26:13;20.50
10;22.37;;F' U L2 U2 F' D2 B L2 F R2 B L2 B' U F2 L2 R' D' L F U';2020-06-07 12:26:51;22.37
11;19.60;;B2 L' D2 L B2 R D2 F2 L D2 F U' F2 R2 B2 F D' B U2;2020-06-07 12:27:38;19.60
12;23.89;;L2 U B' L2 D2 F' D2 U2 L2 D2 B' L2 F2 R B D' R D2 L2 R;2020-06-07 12:28:21;23.89
13;18.29;;U2 B' D2 R2 B2 F2 U R2 D' L2 R2 D' B2 L F R' D L' R B2;2020-06-07 12:29:09;18.29
14;20.66;;F2 L2 F2 L' U2 L' U2 F2 U2 R2 F2 R' F' D' B2 R U L' R U2 R';2020-06-07 12:29:57;20.66
15;24.65;;L2 B2 L F B' R' U' B2 D' R2 B' U2 D2 F' U2 R2 F' U2 L2 D2;2020-06-07 12:30:49;24.65
16;24.17;;F R' B L2 F2 R' D2 R U2 B2 R2 B2 R B2 D B U B' L2 U2 B2;2020-06-07 12:31:34;24.17
17;27.80;;L D' B R2 U2 B2 U R2 U B2 L2 B2 D' B2 L B F' L F' U' R2;2020-06-07 12:32:24;27.80
18;23.84;;F' R2 D' L2 F2 D2 B2 U' B2 L2 R2 U2 L B' D' F2 L2 F' D2 L' B2;2020-06-07 12:33:18;23.84
19;24.02;;D F L2 B' L2 F' D2 R2 B' L2 F' L2 D L D' F U' B' L2 R2;2020-06-07 12:34:21;24.02
20;23.56;;R2 F R' L2 D2 L2 R2 F2 D U2 L2 U' B R' B' L' F2 L B';2020-06-07 12:35:07;23.56
21;20.91;;U' F2 D2 L2 D F2 U' B2 U2 B2 U R2 L' B L2 B' R' F' U' R F';2020-06-07 12:35:51;20.91
22;21.14;;B L2 U2 B2 F' R2 U2 F U2 R2 D' L B' U' R2 B' F D R' B';2020-06-07 12:36:36;21.14
23;20.72;;F R2 F' R2 D2 B L2 D2 R2 U2 L' D B' F2 R' D F2 U' B2 R2;2020-06-07 12:37:18;20.72
24;21.36;;F' U2 B' R D2 R U2 R B' U' R2 D' F2 U F2 L2 U F2 U2 R2;2020-06-07 12:38:02;21.36
25;21.50;;U L2 D' L2 D2 F2 L2 U2 B2 U' B' D' U L D2 B2 L U' F';2020-06-07 12:39:04;21.50
