No.;Time;Comment;Scramble;Date;P.1
1;22.52;;B2 R2 U' L2 D' F2 U L2 D' U R2 B R B L2 D R' B' L' D2;2020-05-23 15:10:08;22.52
2;26.99;;D' R2 F2 L2 B' R' L2 B R2 D' B2 L2 F2 U L2 D B2 R2 L2;2020-05-23 15:11:02;26.99
3;18.63;;L' B' R L D B L' U2 B' U' B2 R2 U2 F2 U L2 U' B2 R2 B2;2020-05-23 15:11:47;18.63
4;23.29;;D2 L2 F R2 B' D2 F L2 D2 L2 U' F' R D L2 B2 D2 U2 B';2020-05-23 15:12:26;23.29
5;24.44;;B' R' D2 B2 U2 R' D' F L U2 R2 D2 B2 D2 R' D2 B2 L2 B2 F';2020-05-23 15:13:23;24.44
6;24.26;;U2 R' U L2 U' F2 D' R2 U F2 U2 F2 B' R' B2 L2 U2 F' D';2020-05-23 15:14:19;24.26
7;DNF(25.76);;B2 U R' B2 D R D L' F2 R2 B D2 L2 D2 R2 F2 B' U2 F';2020-05-23 15:15:09;25.76
8;23.81;;U F' U R' F D' B2 L U B2 D' F2 D F2 L2 F2 L2 U' D R' F2;2020-05-23 15:16:43;23.81
9;26.39;;B R' U L D' R2 L F R2 D B2 D2 F2 B2 R2 B2 U' F2 D' L';2020-05-23 15:17:30;26.39
10;25.19;;B' R2 F2 R2 F2 D U2 L2 U B2 U F2 U' R' B L' B2 L D2 U' B;2020-05-23 15:18:26;25.19
11;26.21;;B2 D2 R F2 U2 R2 F2 D2 L2 F2 R F2 D' B U2 B2 R' F R' D L;2020-05-23 15:19:31;26.21
12;32.93+;;F2 D' R' D F' D2 R B F2 U2 D2 R B2 L' F2 D2 L2 D2 R;2020-05-23 15:20:30;30.93
13;18.55;;D' R B2 U2 F2 R2 U2 L B2 U2 R' D2 F L2 B' D2 U F2 U F';2020-05-23 15:21:39;18.55
14;27.92;;F2 U' B D' F' B' R D2 R2 F2 R2 D' F2 L2 U' R2 U' R2 U2;2020-05-23 15:22:28;27.92
15;22.77;;B' D B2 R2 D L2 R2 B2 D R2 F2 D2 L' U' B2 F2 L2 U' L' F' U2;2020-05-23 15:23:23;22.77
16;28.13;;F' L' U2 F2 L2 U2 F2 U' R2 U' L2 B2 R2 B' D2 F2 U R' D2 F2 L';2020-05-23 15:24:15;28.13
17;21.11;;F2 D2 R2 U' L2 D' F2 R2 U L2 R2 B F' L B2 D R B2 F U2;2020-05-23 15:25:03;21.11
18;22.71;;L' F R D' R2 D B' U' F2 D2 F L2 F R2 B' R2 F B2 U2;2020-05-23 15:27:11;22.71
19;24.47;;U' B2 R2 U R2 U L2 U2 L2 F2 U' F2 L' D2 B L' F' D2 U R2 D';2020-05-23 15:28:31;24.47
20;22.34;;L' U2 B L' D2 R' U2 L' U2 B2 F2 L' F2 R2 F U B L2 D' L2 F';2020-05-23 15:29:22;22.34
21;25.27;;F R L2 U2 F B R2 D' F R B2 D2 F2 R' U2 R2 D2 F2 L2 B2;2020-05-23 15:30:26;25.27
22;24.58;;D2 R' D2 R2 B2 R U2 D L' U2 F B' D2 B U2 B' R2 F' L2;2020-05-23 15:33:20;24.58
23;25.24;;F B2 L U' D' R' U2 R2 F D2 R U2 R2 B2 L D2 B2 R' U2 D2;2020-05-23 15:34:13;25.24
24;24.79;;U F2 D F2 L2 U' R2 B2 D L2 F U2 R' B D' B' U' L B' U2;2020-05-23 15:35:50;24.79
25;27.64;;D2 L' B' L2 U2 F' R2 D2 B' R2 B2 L2 B' D L' B2 F2 R' D' L' U';2020-05-23 15:38:38;27.64
