No.;Time;Comment;Scramble;Date;P.1
1;18.91;;R2 U2 B2 R B2 R2 U2 F2 D2 L' D2 U' B' L B' D' R' B2 D2 U;2020-06-14 12:00:24;18.91
2;20.68;;R D2 U2 R' U2 L' B2 U2 L' F2 D2 L2 U' F' R B' R' U2 L D2 B;2020-06-14 12:04:56;20.68
3;22.23;;L2 R B' L2 F' L2 F2 U2 B L2 R2 U' F U' B L' R B' L2;2020-06-14 12:05:36;22.23
4;19.47;;F2 D2 F2 R' D2 B2 U2 L2 U2 L2 B2 F D' B' D U R2 F R D R;2020-06-14 12:07:20;19.47
5;21.52;;B D R' F L' U B R F2 U2 L2 D2 F2 R2 F2 L B2 D F';2020-06-14 12:07:59;21.52
6;21.29;;B L2 F2 U2 R2 U F2 U' B2 U' R2 F2 R' F' U2 F' R D U L' F2;2020-06-14 12:08:52;21.29
7;DNF(18.10);;F2 U L2 U' F2 U R2 F2 U2 L2 B2 U' R B F' R2 F2 D' L B' F;2020-06-14 12:09:36;18.10
8;17.91;;U' F' B2 R2 D R D' L B R2 U2 B U2 R2 F' U2 R2 B' L2 B;2020-06-14 12:12:24;17.91
9;18.61;;D F2 R2 F' U' D2 R F' B2 D2 F' L2 B2 R2 U2 R2 B' L2 U2 R' D';2020-06-14 12:13:17;18.61
10;20.14;;F U' F2 B2 R2 B' U' F R' U' L2 U D' L2 F2 U2 D' L2 U R2 F2;2020-06-14 12:15:49;20.14
11;19.31;;D B L F2 R' U2 D' L' B' L2 B U2 L2 B R2 B' U2 B2 D2 R2 U;2020-06-14 12:19:28;19.31
12;18.59;;F2 D L2 U2 B2 F2 L2 U B2 L2 D' F' R2 U' L' D L2 F' D' R;2020-06-14 12:20:09;18.59
13;21.08;;D2 B D2 L2 D B2 U B2 U' B2 U' F2 L2 B' R' F L' B' L D2;2020-06-14 12:21:13;21.08
14;21.63;;L F' R' F' B' D L' F2 U2 D2 L2 U2 R2 B' L2 F' L2 R F;2020-06-14 12:22:02;21.63
15;24.35;;B' U' F B U' L' F R' B2 U2 B2 R' F2 U2 R B2 L F2 U B;2020-06-14 12:23:00;24.35
16;24.49;;U' B2 U' B2 D2 L2 B2 D' B2 D2 L' F' D B2 L' U F' D R2 D';2020-06-14 12:23:49;24.49
17;24.04;;F U2 F' R2 B R2 U2 R2 B' L2 B L2 U' F L B U' F' R F' D;2020-06-14 12:24:43;24.04
18;19.83;;D' F2 U L2 D2 B2 F2 L2 F2 R2 U2 F' R' U2 F2 U' R2 F U' L' R';2020-06-14 12:25:32;19.83
19;DNF(28.63);;D' F' B L' D' F' R' B' R' F2 U2 D' L2 F2 U B2 R2 L2 U D2 F;2020-06-14 12:26:25;28.63
20;20.33;;D' B L D2 F L2 D' R F U' R2 L2 D L2 D2 F2 U2 B2 R2;2020-06-14 12:27:37;20.33
21;22.97;;R2 D2 L' F2 L2 B2 L B2 R D2 B2 D L' F' L2 U' B L B' U;2020-06-14 12:28:31;22.97
22;20.32;;U R F2 R' U' F B' D' B U2 D2 R2 D2 R U2 L U2 R L2 B2 U2;2020-06-14 12:29:16;20.32
23;19.33;;L2 U2 L F2 R D2 R' U2 B2 R D2 F2 U F L' D' R' F' U F2;2020-06-14 12:30:26;19.33
24;23.17;;D2 L2 U' L F D' R' U' L F' L2 F2 L2 B D2 F U2 R2 B L2 B2;2020-06-14 12:32:09;23.17
25;22.23;;D' B R2 F2 U B R D' L2 U F2 U2 R2 B2 R2 D' L2 U2 F2 L U';2020-06-14 12:33:03;22.23
