No.;Time;Comment;Scramble;Date;P.1
1;18.47;;L' U' L2 B L2 F' R2 U2 L2 D2 F' U2 B' L U2 F R' D B D';2020-05-30 16:55:09;18.47
2;20.02;;D B' L' B U2 D F R B2 L2 B2 L2 U2 R2 U2 F U2 D2 L2;2020-05-30 16:55:49;20.02
3;22.60;;D2 R' B2 R D2 R2 F2 R2 B2 R B R' U2 L2 D R D F' L;2020-05-30 16:56:36;22.60
4;22.78;;L' U' L' F2 L' F2 L' B2 R2 B2 U2 R' D2 L D' U' F' L' B R' D;2020-05-30 16:57:23;22.78
5;24.96;;B' R2 U F2 D' R2 D' U R2 B2 D2 L F2 R D U B D R2 F';2020-05-30 16:58:05;24.96
6;20.09;;F2 R' B2 L2 B D R F2 R2 D2 F2 D2 B' R2 U2 B' R2 F L' F;2020-05-30 16:58:59;20.09
7;DNF(8.90);;F2 L2 D' B2 R2 D L2 U F2 U' F2 L' B' F' D2 F' L U' R2 U' R';2020-05-30 17:00:46;8.90
8;23.39;;B' U2 F' D2 R' B' R D F2 D R2 B2 U2 R2 U B2 D' B2 F R';2020-05-30 17:01:58;23.39
9;25.99;;F2 U B2 D F2 U' B2 U2 R2 F2 L2 D' R' D2 B F' R' F' L U2 L';2020-05-30 17:02:44;25.99
10;20.34;;B' R2 D R2 U2 F2 D R2 B2 D R2 F2 D' L' D F D U' B' F U';2020-05-30 17:03:39;20.34
11;26.83;;L2 R2 D2 B2 F' D2 U2 R2 B D2 R2 L U' B' D B2 L' R' F' D';2020-05-30 17:04:45;26.83
12;17.26;;F L B2 U2 L B R' B L B2 D2 L2 D R2 D' B2 L2 U';2020-05-30 17:05:38;17.26
13;29.96;;F D R2 F L B2 R' B' R2 D R2 D B2 U B2 U' F2 B2 D' F;2020-05-30 17:06:46;29.96
14;20.30;;U' D2 B L2 F D2 L2 B L2 R2 U2 F2 U' L U' B2 D2 L2 R B;2020-05-30 17:07:43;20.30
15;19.30;;L' D' R2 U L2 D R2 D2 R2 D2 B2 R2 U' L R2 F' U' B2 R F' D';2020-05-30 17:08:24;19.30
16;25.13;;F' B D' L U' R' L2 U F D2 F L2 B D2 F' U2 F2 U2 L2 B';2020-05-30 17:09:19;25.13
17;26.19;;U' R' L' F' D' F' L2 U' F2 R2 F' D2 B2 D2 R2 U2 B U2 F2;2020-05-30 17:10:14;26.19
18;22.12;;R2 F2 U2 F2 U2 L2 B2 L B2 F2 R' U2 D' L' B' R D' F' D L' R2;2020-05-30 17:11:00;22.12
19;21.77;;B' D2 U2 L2 U2 B' R2 B2 L2 F R2 U2 L U' B F' L B D' B F;2020-05-30 17:11:48;21.77
20;22.09;;R' U2 L2 D R U F' U2 L2 D R2 U' B2 D' R2 U' B2 U2 R2 F L;2020-05-30 17:12:29;22.09
21;DNF(34.06);;D2 B' R2 U2 B L2 D2 F' R2 U2 B2 R2 U' B L F' R2 D2 L D' L;2020-05-30 17:13:52;34.06
22;24.57;;L' F2 D' R2 B2 R2 B2 D2 F2 D2 L' F' D' F2 L' U2 F' R' B';2020-05-30 17:15:07;24.57
23;26.15+;;B2 L2 D L2 R2 D' F2 D2 L2 U' L2 U' B' D R' B R F' L B2 R;2020-05-30 17:15:57;24.15
24;26.86;;U' B R' F2 L F' R F U' B2 L2 F' L2 B U2 F' R2 D2 R2 F;2020-05-30 17:16:49;26.86
25;20.61;;R' D R2 F2 D2 U B2 F2 R2 F2 U L2 U' R B' D2 U2 F2 R' U';2020-05-30 17:17:51;20.61
