No.;Time;Comment;Scramble;Date;P.1
1;18.53;;U' B' R2 U2 B2 D2 U2 F' U2 F D2 F U' B' L' U R2 U' B' F2;2020-06-10 12:23:29;18.53
2;19.31;;U' L2 D L2 F2 U2 R2 D B' L F' U R' U' L F2 D2 R;2020-06-10 12:24:07;19.31
3;20.24;;D' L2 D' F2 U R2 B2 F2 D F2 D' F' D' U2 R F U L' D' F U';2020-06-10 12:24:53;20.24
4;15.74;;L2 B2 U B2 L2 D' F2 L2 D' U' F2 U' B U L' B D R' F' L' R2;2020-06-10 12:25:42;15.74
5;17.94;;B L' B' U F2 R' D' F2 R' F U2 F2 L2 D2 F' D2 F L2 F L2;2020-06-10 12:26:29;17.94
6;22.47;;F U R U' R L' U D2 R2 F' L2 B' D2 F' R2 B2 L2 B2 U' L2;2020-06-10 12:27:06;22.47
7;21.27;;D' L2 U2 F2 D B2 L2 F2 U' F2 U' F D2 R' B F' R2 U' L2 U2;2020-06-10 12:27:52;21.27
8;23.36;;U B R D' B2 U' R' D' R2 D' R2 B2 U2 R2 L2 U F2 D2 L2 B' R;2020-06-10 12:28:44;23.36
9;26.21;;D2 R' D2 L' D2 L2 D2 U2 R' U2 R' B2 U' F' L2 U2 L R' F2 D;2020-06-10 12:29:51;26.21
10;23.15;;F' R' B' F2 R2 D' B2 U B2 D' R2 F2 D' R2 L F' R2 U2 R U L2;2020-06-10 12:30:42;23.15
11;22.88;;F' R L2 D F2 U' F2 D2 R2 B2 R2 F2 L' F' U L' F D2 L' R';2020-06-10 12:31:40;22.88
12;22.36;;U' F U2 F' L B' R' F D F2 L2 D' R2 F2 U' B2 U' L2 U' L2;2020-06-10 12:32:48;22.36
13;DNF(25.54);;D' U2 B' U2 B L2 F R2 D2 R2 B R' D' L U2 B2 U2 F' U B';2020-06-10 12:34:00;25.54
14;21.11;;B2 D B' U' F L F U D2 R2 D' L2 B2 U' D' B2 R2 F2 L2 R F';2020-06-10 12:36:07;21.11
15;20.83;;F L U' R L' D L F2 L2 F D2 L2 F R2 D2 B' L2 B2 D2 U' F;2020-06-10 12:37:08;20.83
16;25.15;;U R2 B2 L' D2 U2 B2 R' D2 L U2 L B' D2 R2 U2 F2 D F2;2020-06-10 12:38:13;25.15
17;20.87;;L F2 U2 L F2 R D2 U2 B2 L R B2 D' L B' F2 D' U' L U2 F';2020-06-10 12:38:58;20.87
18;21.56;;B2 R2 U2 B2 U2 L' B2 R' U2 R B2 R' U' B' F D' U2 R2 D' F U2;2020-06-10 12:39:45;21.56
19;17.65;;D' L2 B2 D2 F' U' L B2 R L2 U' B2 D' R2 D2 L2 U L2 F2 L2 U2;2020-06-10 12:40:27;17.65
20;23.86;;D' B2 R2 U' R2 D L2 F2 D2 F2 R' B L F2 R2 F2 D R B U';2020-06-10 12:41:08;23.86
21;23.06;;L2 U2 L D R2 L2 F R' U' B' U2 F2 D' B2 D2 B2 R2 D F2 R2 L2;2020-06-10 12:41:53;23.06
22;23.01;;F2 D L2 F2 L2 R2 U' L2 D2 B2 U' L F2 D R U F2 D2 F U B;2020-06-10 12:42:45;23.01
23;23.23;;D F U' B2 L2 B2 D L2 D2 U F2 U2 L B' F' U F R B' L;2020-06-10 12:43:28;23.23
24;20.88;;F2 U2 R2 U' F2 L2 D F2 D L2 U2 F2 L' F2 R U F U2 R U2 L2;2020-06-10 12:44:12;20.88
25;20.48;;R2 D2 B2 U B2 L2 D2 R2 F2 U B' R' F' R D L F L2 U2 R';2020-06-10 12:44:51;20.48
