No.;Time;Comment;Scramble;Date;P.1
1;22.76;;L2 B2 U2 F2 D' B2 R2 D' L2 U B2 D' B' U' F D' L B F D;2020-06-03 14:42:57;22.76
2;21.16;;B2 U2 B U2 B U2 L2 F L2 F U2 F L' D B2 L2 F U2 B D U';2020-06-03 14:44:13;21.16
3;19.70;;F2 R2 F2 U L2 F2 B' D' B2 L2 U2 L' U2 D2 F2 L2 F2 L B2 R';2020-06-03 14:44:53;19.70
4;22.36;;D' F D2 F2 R2 F' L2 D2 F' D2 R2 F2 D2 U' L D R2 D' B2 F2 U';2020-06-03 14:46:26;22.36
5;25.81;;F L2 F D L' F' U' F' R U' R2 F2 R2 L2 D F2 D R2 U2 F2;2020-06-03 14:47:09;25.81
6;23.84;;U2 F' D2 B2 F' L2 U2 B2 U2 F2 R D2 U L' U' F U B' L R;2020-06-03 14:47:55;23.84
7;24.69;;L' U2 F' U B2 U L2 D2 F2 L2 B2 U2 B' D L U' L' B2 R;2020-06-03 14:48:46;24.69
8;18.05;;B' U' D' F2 D2 F' R2 U' D2 L D2 F2 R L2 F2 L D2 B2 F;2020-06-03 14:49:52;18.05
9;DNF(30.32);;R U' B D B2 R' F L' B L2 U F2 L2 U F2 U D2 L2 F2 D2 F2;2020-06-03 14:50:43;30.32
10;22.12;;U' L D2 U2 F' D2 B2 L2 F2 L2 D2 F2 D2 L' D2 F U' B2 L D2 B';2020-06-03 14:51:47;22.12
11;21.83;;F' L' U' R' L U' B' R2 U L2 F2 D' F2 U B2 U' F2 B2 L2 R D';2020-06-03 15:03:25;21.83
12;24.26;;B U' B2 L2 U' B2 R2 D' B2 F2 L2 U B2 L D R2 F' D2 U' R' F';2020-06-03 15:04:26;24.26
13;19.87;;F2 U' F2 U2 B2 F2 U2 R2 U' B2 U2 F2 L' F' U' F L2 U L' F D';2020-06-03 15:05:10;19.87
14;DNF(24.20);;D R' D' F2 L2 D2 L2 R2 D' L2 D' R2 D B' L R B F' U' B U2;2020-06-03 15:06:10;24.20
15;22.78;;D' F R2 D B2 U2 L2 U2 F2 U F2 L2 F2 U' L' B L2 U2 F' D' B;2020-06-03 15:07:23;22.78
16;24.54;;B L' D R2 F2 D B2 F2 L2 B2 F2 U' B D L' R' D R' B2 D2;2020-06-03 15:11:20;24.54
17;21.36;;F' D' L2 B2 D' F2 R2 D2 U' B2 L2 D2 L' B' D L2 D' B R F';2020-06-03 15:13:08;21.36
18;19.91;;F D F U F' U R L D2 B L2 D2 B' R2 B U2 F' D';2020-06-03 15:14:05;19.91
19;22.01;;U' F L' D2 L' U2 D F2 L U2 L2 D2 F2 U2 L F2 U2 R L2 B U2;2020-06-03 15:16:13;22.01
20;23.69;;L2 U B2 R2 U F2 L2 U' F2 D2 R2 B' D' R2 D' L2 B F2 L' B;2020-06-03 15:17:09;23.69
21;19.12;;U2 F' U2 L' F2 L D2 L2 D2 U2 R' B2 R2 D L U' B' R F' U';2020-06-03 15:17:55;19.12
22;20.72;;B' R' L2 D2 F' R2 L' U2 B' L2 U' R2 F2 U D2 L2 D' F2 R2 F2;2020-06-03 15:18:42;20.72
23;22.93;;B2 R2 F L2 D2 B D2 U2 F D2 F2 D' L B2 D B' U' B L2 B';2020-06-03 15:19:24;22.93
24;20.20;;F' L2 D L2 U' B2 D' F2 R2 D L2 U' F2 B' D F' L D' L D' U';2020-06-03 15:20:04;20.20
25;DNF(28.10);;F' U' B' R2 U2 R2 B F2 U2 L2 R2 U2 L B' D' B D2 U B';2020-06-03 15:20:45;28.10
