No.;Time;Comment;Scramble;Date;P.1
1;21.12;;F' U' R2 U' F' L2 D' R2 F2 D2 R F2 B2 D2 R' F2 R2 F2 L U;2020-06-05 12:48:42;21.12
2;22.79;;R' D F2 U2 L2 B2 D2 L' F2 L F2 R' B2 R' F' R' D' R2 D' F L2;2020-06-05 12:51:48;22.79
3;21.69;;L2 D' F2 L2 D' L2 U B2 D' B2 L2 U2 B R B' D' F U2 L' U R';2020-06-05 12:52:34;21.69
4;DNF(26.77);;F2 D2 F2 D' R2 B2 L2 U R2 D' R2 F2 L' F2 U F2 U' B' L' R' F;2020-06-05 12:53:26;26.77
5;22.30;;B2 R2 D2 U' R2 D B2 D2 F2 D2 L B' F D L U2 R' B F' U;2020-06-05 12:54:44;22.30
6;18.05;;F2 L' B2 F2 R D2 L' B2 U2 B2 D L F' L2 D R2 F2 L B;2020-06-05 12:55:29;18.05
7;21.63;;F2 U R2 U' L2 U2 R2 D' F2 U' B R2 F' L2 D' R2 U2 R' D' B';2020-06-05 12:56:56;21.63
8;23.15;;U2 B' D' R U' B2 L' F2 D B R2 B2 L2 F' L2 U2 F U2 D2 F2 U2;2020-06-05 12:59:01;23.15
9;21.90;;F B R U' L' B D' F L U2 B L2 F2 B R2 U2 B U2 B2 L2;2020-06-05 12:59:44;21.90
10;21.79;;B' U2 F2 R B2 R' D2 L' B2 U2 R2 U2 L2 F' D' L' B L2 F L' D';2020-06-05 13:00:28;21.79
11;22.44;;R2 B' D2 B' R2 D2 L2 B' U2 B2 R F' D L U B2 D B R' F2;2020-06-05 13:01:26;22.44
12;18.78;;L2 F2 U' F2 L2 D B2 D2 L2 D F U' L D F D2 U' B' U2;2020-06-05 13:02:14;18.78
13;20.93;;R2 B2 U F2 L2 D' F2 L2 U2 B2 R2 U' B L2 U' B D' L' R2 F2;2020-06-05 13:03:04;20.93
14;19.42;;D' L2 B2 D' F2 U' L2 B2 D' R2 U2 F2 R' B' L U2 L2 F' U' L' R;2020-06-05 13:03:48;19.42
15;18.59;;F2 U R D2 B2 F2 L D2 L' U2 R2 F2 R' D L' B F L2 B L;2020-06-05 13:04:33;18.59
16;19.68;;L2 B2 L2 F2 D2 B2 R B2 L' B2 R2 B2 D F' D2 R B F' D' B2 R;2020-06-05 13:05:12;19.68
17;DNF(26.87);;F2 U' R2 D' U2 B2 D' B2 R2 U F2 R F2 D2 B D2 U2 R B' D2 U2;2020-06-05 13:05:53;26.87
18;22.11;;R2 U L2 U' L2 D2 R2 D2 U' L R' B R' F L2 R2 U L' B2;2020-06-05 13:06:46;22.11
19;DNF(21.40);;L2 B L2 D2 F' U2 B L2 F L2 F2 R2 L D' U2 L R' F U R2 F;2020-06-05 13:07:45;21.40
20;22.31;;U2 R' U2 F2 R' D2 R' B2 L' F2 L B U' R' D' R B' F L' R U2;2020-06-05 13:08:41;22.31
21;16.88;;B' R L2 B L2 U B U2 L' B2 L' D2 R F2 L2 D2 F2 R B' D2;2020-06-05 13:09:24;16.88
22;20.32;;L' D' F' L2 F2 L2 U' F2 D' U2 B2 L2 U2 F' R B D' L D2 B2;2020-06-05 13:10:36;20.32
23;19.66;;R' D F' L2 B F L2 U2 L2 U2 F R2 F2 D' L F R U2 B L2 F';2020-06-05 13:11:29;19.66
24;23.57;;U F R2 U2 B' R2 F U2 F' R2 U2 F' R D' R' F L B' U2 R D2;2020-06-05 13:12:20;23.57
25;23.13;;R' D' L2 B2 F2 L' D2 U2 R U2 L R F' R' D2 U2 B R U2;2020-06-05 13:13:12;23.13
