No.;Time;Comment;Scramble;Date;P.1
1;21.45;;U' B D L2 R2 F2 L2 D L2 D' U F2 R D U R' U B2;2020-06-06 13:09:28;21.45
2;17.92;;D2 L F2 D2 R U2 R2 U2 B2 L D2 L' F' D' F U' R' B2 F2 L' B';2020-06-06 13:10:36;17.92
3;20.47;;B' R2 B2 U R2 D2 R2 B2 U' B2 F2 D' R' U R2 U F R D B;2020-06-06 13:11:16;20.47
4;20.67;;B2 F2 D2 B2 D B2 D F2 D' R2 F2 R' B2 D2 F L2 R B2 D' F' D2;2020-06-06 13:12:12;20.67
5;18.91;;R' U' F2 D' R2 B2 L2 R2 D R2 F2 R2 B L F2 D' U' B L U L2;2020-06-06 13:12:57;18.91
6;21.68;;U2 B' R2 U2 F' U2 B' R2 U2 F' L2 R U' B2 R2 F L2 B D U';2020-06-06 13:15:08;21.68
7;22.07;;U L F2 R D2 F2 D2 U2 F2 L B2 R' F' U' R2 B2 L2 U' R' B;2020-06-06 13:16:05;22.07
8;23.55;;U' B2 U2 B2 R' B2 L F2 R2 F2 L F' D' F' U' R' F U2 R';2020-06-06 13:17:23;23.55
9;22.92;;F' B2 R U2 L' F2 R2 B2 L F2 L U2 B L D' U2 B' D2 B L';2020-06-06 13:18:23;22.92
10;21.94;;R2 U R2 D2 U B2 D F2 R2 D' B2 R F U' F D2 R' B' D U;2020-06-06 13:19:08;21.94
11;19.85;;R' B D B2 D2 R2 U F2 L2 U B2 R2 B2 L' R2 U2 F' R2 U' B';2020-06-06 13:22:11;19.85
12;21.21;;D2 F2 L2 B' U2 L2 U2 L2 F U2 R2 L' D2 U' L' U2 R' D' F D2 U;2020-06-06 13:23:05;21.21
13;16.91;;U R F2 R2 B2 R U2 B2 L' B2 U2 L2 U2 B' R B D U2 B2 F2;2020-06-06 13:23:44;16.91
14;21.64;;B2 U L2 U R2 B2 F2 U R2 F2 U F D L B2 D R' B F' U F;2020-06-06 13:24:58;21.64
15;23.59;;B' D' B D2 U2 B2 L2 F' U2 R2 F' L2 F U R' B L2 B D L2;2020-06-06 13:25:40;23.59
16;21.42;;L' B2 L2 D' B2 F2 D2 L2 U L2 F2 D' U2 R U F L2 D2 F' R' F';2020-06-06 13:26:33;21.42
17;20.31;;B2 R' B' U2 D' L F' L2 B' U' B2 D' L2 D' B2 R2 D' B2 R2 D2;2020-06-06 13:27:52;20.31
18;21.08;;L2 D2 L2 R2 B2 U2 F' L2 B2 U2 L' U R' B2 R' B U R U';2020-06-06 13:28:48;21.08
19;17.47;;R2 U2 R U2 B2 L' U2 L' B2 F2 U2 R B R' B2 L2 R' B L F';2020-06-06 13:29:29;17.47
20;25.04;;B' L U2 R2 B' U' L' F' R U2 F2 U2 R2 F' R2 D2 F R2 L2 B';2020-06-06 13:30:06;25.04
21;23.23;;D' R L2 F' R2 F' R2 F' D2 L2 B2 F' U2 L D2 F' R D' R U' F';2020-06-06 13:30:55;23.23
22;18.22;;F D2 R2 F' R2 F' D2 B' L2 U2 L2 F U' R U' R2 U2 B' R' D' B';2020-06-06 13:31:51;18.22
23;19.71;;L' F' U' F2 D2 B2 L2 F2 D F2 R2 U' B' R' U2 L' B F' U' F;2020-06-06 13:32:38;19.71
24;21.27;;D2 F' L2 B U2 B2 U2 F U2 F' L2 R2 D L D U' L F2 L2 B' L';2020-06-06 13:35:43;21.27
25;20.62;;F2 D R2 B2 U' R2 F2 R2 U' L2 F' D R2 B' R' B D L B R;2020-06-06 13:36:27;20.62
