No.;Time;Comment;Scramble;Date;P.1
1;18.13;;L2 D2 U2 F' L2 F L2 B U2 B' U2 L B2 U' B U' F D2 L' B';2020-06-08 12:19:04;18.13
2;21.87;;B2 U' L2 B2 R2 U' L2 D U2 F2 L2 B U B2 F' R' U L B' D';2020-06-08 12:20:03;21.87
3;22.66;;L D2 F U F L2 F R L2 F2 U F2 U' L2 U' L2 D' B2 D R';2020-06-08 12:20:51;22.66
4;17.81;;F' U F2 R2 F U2 F' U2 L2 B U2 R2 F' L U' B D2 B D B2;2020-06-08 12:21:32;17.81
5;19.00;;R' B' U F' U F L2 B2 R D' B2 U B2 R2 L2 U' B2 U B2 U R2;2020-06-08 12:22:19;19.00
6;20.48;;D F2 B' L2 B2 U F' R' B' L2 F U2 B2 L2 U2 L2 F R2 B R2 U;2020-06-08 12:23:01;20.48
7;20.98;;U L2 U D2 B D' L2 D L' U' F2 B2 D' R2 L2 F2 D' F2 D2 L2;2020-06-08 12:23:54;20.98
8;21.63;;B2 U2 F' L2 F R2 B D2 L2 F2 L F' D' L F2 R' D U' L;2020-06-08 12:24:58;21.63
9;21.72;;U F R F2 U2 B' R F D F R2 L2 B' D2 F' B2 D2 B' U2;2020-06-08 12:25:46;21.72
10;22.36;;B U' L' F L' B R U' F2 R2 F' D2 F' R2 B' L2 B U2 B' R2 D;2020-06-08 12:26:30;22.36
11;22.72;;U' F2 L2 U B2 R2 U2 B2 L2 R U' R2 D' R F' D' L2 F' R;2020-06-08 12:27:14;22.72
12;19.97;;F2 D' R2 U2 B2 D2 R2 B2 U B2 R U' F R2 F' U' L2 R F D;2020-06-08 12:28:07;19.97
13;22.67;;U R U' F2 L' F L D' R2 U B2 U2 R2 B2 D B2 R2 B2 L' B;2020-06-08 12:28:46;22.67
14;19.30;;B D2 B2 U' F2 R2 F2 D' B2 L2 U' F2 B' R F2 D U L' B L2;2020-06-08 12:29:34;19.30
15;23.39;;U B U' D L' F2 R' B R B2 D2 R2 F2 L F2 L2 D2 L U';2020-06-08 12:30:24;23.39
16;26.66;;L F' U F' U R F D F2 L2 F R2 L2 F' L2 B L2 F' R2 F L;2020-06-08 12:31:18;26.66
17;20.87;;F' D2 B R2 D2 F U2 B2 F' L2 D' R F L U F' R B F' U';2020-06-08 12:32:10;20.87
18;DNF(32.84);;F' U L2 U' L2 F2 R2 B2 D2 F2 D F L U F D2 B2 L' D' B';2020-06-08 12:33:10;32.84
19;24.81;;U' F R' U' F L B' U' F B2 D F2 D F2 D2 L2 B2 L2 D B2;2020-06-08 12:34:13;24.81
20;20.09;;B R D F2 B' U B L B' U2 L2 F2 U2 F' R2 F U2 B' D2 L;2020-06-08 12:35:15;20.09
21;21.75;;D2 R' B' D F2 U' L2 B2 U2 L2 R2 U' R2 L' D2 L' U' L F' U';2020-06-08 12:36:18;21.75
22;DNF(13.86);;B2 R U2 L D2 R' D2 B2 L D2 F2 R' U' R D L2 F D2 L2 F;2020-06-08 12:37:13;13.86
23;22.99;;F R B' L' U B' D2 F' R U' F2 L2 U D2 F2 L2 U D2 R2 D;2020-06-08 12:38:09;22.99
24;18.43;;B2 F2 D' F2 D U' F2 L2 F2 R2 B D' B2 L' D2 B L' R' D2 B2;2020-06-08 12:38:52;18.43
25;17.43;;D2 U' L2 B2 F2 D2 B2 D' L2 B2 F R2 D' B2 L U L' F2 D2 F';2020-06-08 12:39:36;17.43
