No.;Time;Comment;Scramble;Date;P.1
1;26.43;;L' B2 D2 R2 F2 D2 R B2 R D2 R' B2 F R B' D2 L2 U' L D' F';2020-05-24 13:52:49;26.43
2;24.35;;D' B2 D' B2 L2 B2 U2 L2 U L2 B2 R' F' L B U' B R B D;2020-05-24 13:54:22;24.35
3;22.07;;L2 B2 F' L2 F R2 F' R2 D2 B2 R D L2 R2 F' D2 R D' U2;2020-05-24 13:55:35;22.07
4;25.22;;U' F2 U' B2 L2 U F2 D R2 D L' B' U' B' R2 B' R D2 F' U;2020-05-24 13:58:38;25.22
5;18.84;;F2 R' U2 R F2 D2 F2 R' D2 F2 U' B2 F' D' L' D R U L;2020-05-24 13:59:28;18.84
6;24.74;;B2 L D B' D2 F' U F2 R B2 L' U2 D2 B2 R B2 R B2 R2 F' D';2020-05-24 14:00:48;24.74
7;20.41;;F L B D F2 U2 L2 F2 R2 U2 L2 F2 D2 U B' L' U2 L B2 D' R;2020-05-24 14:02:56;20.41
8;22.64;;D2 F B2 D L2 R2 D B2 L2 U' R2 U' R B F2 L' B D2 B' D;2020-05-24 14:03:40;22.64
9;27.13;;B2 R' B2 R2 B2 D2 F U2 F D2 F' R2 F' L D' L' F D2 U' R';2020-05-24 14:05:02;27.13
10;24.90;;D' B2 U2 B2 R' U2 R' U2 B2 L2 B2 R B' U' R' F R' U' B F2;2020-05-24 14:05:48;24.90
11;24.69;;L F' U' B2 L' B R' F' D B2 D2 L U2 D2 F2 L F2 R' B2 L2;2020-05-24 14:06:51;24.69
12;21.91;;F D L B' R B' L' F' D F2 U' R2 F2 L2 U' R2 L2 B2;2020-05-24 14:19:24;21.91
13;21.43;;F' L' U' F2 L2 U' F2 U' R2 U2 R2 F2 U B' L2 D2 B R' B F2 R';2020-05-24 14:20:06;21.43
14;23.61;;B F2 D' B2 D2 B2 U' L2 U' F2 D R2 U2 B' R' D L2 R D U L';2020-05-24 14:21:29;23.61
15;22.89;;U' R D2 B2 L U' D B' U R2 U' L2 U' R2 D L2 D' B2 U' B2;2020-05-24 14:22:16;22.89
16;6.62;;D' R F2 U' B R' U2 L' U' R2 D L2 B2 U2 D' B2 U F2;2020-05-24 14:23:08;6.62
17;19.19+;;D2 B2 L2 D2 B2 F' R2 U2 F' D2 F2 D' L F' U' F' L R B2 F D';2020-05-24 14:24:06;17.19
18;24.13;;R U R' B2 U2 L U2 L B2 L D2 L2 D2 B' U' F' U' B2 F U';2020-05-24 14:25:01;24.13
19;24.69;;F' R' F' B2 R2 L2 U F2 R2 L2 F U2 F R2 U2 D2 B' R2 B';2020-05-24 14:26:03;24.69
20;24.43;;F2 R F' L2 F2 L2 D' B2 R2 U' L2 D' L2 U' F R D' F U2 F;2020-05-24 14:27:00;24.43
21;20.91;;D' B2 D R2 D' L2 R2 B2 D' B2 U' B' U2 L' B R' D' F' U' F' R;2020-05-24 14:27:44;20.91
22;25.29;;L2 R2 U2 B R2 U2 F R D' B2 F' R2 D' U B F R;2020-05-24 14:28:46;25.29
23;DNF(8.39);;R2 B2 U2 B2 R2 F2 R2 D' F2 D' R' F L2 U' L' U2 R D R D;2020-05-24 14:29:31;8.39
24;23.44;;F U' R2 B2 D' F2 D2 R2 F2 U' F D2 R' F' R U F D2;2020-05-24 14:30:33;23.44
25;20.36;;F2 R2 B2 D L2 R2 U' L2 U2 B2 D2 F U R U2 F' D' F2 L B D;2020-05-24 14:31:18;20.36
