No.;Time;Comment;Scramble;Date;P.1
1;16.08;;L' F L D B2 R2 B2 U' F R2 F U2 F L2 U2 B2 L2 B' U2;2020-06-13 12:55:24;16.08
2;20.97;;U2 R2 U F2 U' B2 L2 D B2 D F2 U2 L D' B' R' D' L B L2 F2;2020-06-13 12:56:14;20.97
3;16.68;;F2 D' F2 D2 R2 B2 L2 F2 U' L2 R2 F2 B' D' R' D' R2 B2 R B' L;2020-06-13 12:56:57;16.68
4;22.98;;R' L U B L B' R' B U2 B2 U R2 D' B2 U D B2 R2 B2 R';2020-06-13 12:57:56;22.98
5;19.74;;R2 B U F' D' L2 U D2 F2 R' F2 R D2 L' F2 L' F2 B2 L B' L2;2020-06-13 12:58:36;19.74
6;22.37;;D R U' R' F R F U2 L' R2 F B2 R2 B2 U2 F2 U2 R2 D2;2020-06-13 12:59:27;22.37
7;21.82;;D' F D2 B2 R2 U2 F2 L2 U2 B' R2 F' L U' F2 L D2 F' U2 F;2020-06-13 13:00:11;21.82
8;20.61;;D U2 R2 F U2 F2 D2 F R2 B2 F' L2 F2 D' R D U' L2 D U L';2020-06-13 13:02:30;20.61
9;20.83;;U2 B2 U B2 D' B2 R2 D' F2 R2 D L2 R F R' D R2 B D' L F2;2020-06-13 13:03:09;20.83
10;18.10;;B2 D2 L2 D2 R2 F L2 B U2 F L2 R B F2 U2 B D' B' F R D;2020-06-13 13:03:52;18.10
11;DNF(24.47);;D' U B2 D R2 B2 U' F2 L2 B2 U F L B' U2 B2 D L' D' R D;2020-06-13 13:04:29;24.47
12;17.41;;R2 U' R2 D' F2 U' B2 U B2 L2 F2 B L2 R F' U2 L' D B' U' L2;2020-06-13 13:05:17;17.41
13;23.00;;F2 D' L2 B2 D' F2 U' F2 L2 U R D2 F' L' R F2 L B U L;2020-06-13 13:06:08;23.00
14;22.83;;F U2 B2 U2 L2 R2 F U2 R2 F' U2 F' L D' R2 B2 D L B' R F2;2020-06-13 13:06:54;22.83
15;21.64;;U2 F' D2 B U2 B' D2 B F2 L' R' B D R' B' F2 U' F2 L;2020-06-13 13:08:20;21.64
16;20.78;;R2 F2 R U F2 D' U B2 F2 D F2 R2 B2 R2 L D2 F L' B U' R2;2020-06-13 13:09:06;20.78
17;22.23;;D' B' F R2 U2 B' D2 L2 B' R2 F' R U2 B' D R D2 R2 B2;2020-06-13 13:09:53;22.23
18;21.43;;D2 B' U2 F' U2 L2 R2 B F R2 F R D' L2 B' U2 F' U F D';2020-06-13 13:11:49;21.43
19;21.82;;U' B' U L2 B2 R2 B2 D2 F2 D R2 U B2 R2 F' D' L' B2 F' D B;2020-06-13 13:12:53;21.82
20;17.57;;L R2 U R2 U R2 D' B2 L2 U' L D L' D U B' R2 U L2;2020-06-13 13:14:34;17.57
21;19.44;;R F2 D' B2 U B2 D' B2 L2 F2 R2 U F' D' R' U2 F' U R2 F';2020-06-13 13:15:20;19.44
22;19.90;;R U' L D2 B' L' U D' F R2 L U2 B2 U2 L' B2 L D2 F2 B2 R';2020-06-13 13:15:56;19.90
23;DNF(28.23);;R' F' D' L2 F2 D' F2 R2 D2 U' L2 U' B2 U' R D L B' D L U2;2020-06-13 13:16:45;28.23
24;22.75;;R D2 B2 D2 L B2 R' D2 L' D2 R2 U L' D B D2 R F2 L' B';2020-06-13 13:17:37;22.75
25;21.95;;F2 D L2 U' B2 L2 U2 B2 D R2 U F2 L' F' U F D B U2 B2 L2;2020-06-13 13:18:24;21.95
