No.;Time;Comment;Scramble;Date;P.1
1;25.75;;L D2 F U2 R2 B2 L2 U L2 U' F2 D' U' R2 L' B R U B2 L' D2;2020-05-27 11:23:39;25.75
2;22.96;;F' D2 U2 R2 F2 U2 F' R2 U2 F R2 B U' R' D F D' B2 L' R2 U';2020-05-27 11:25:43;22.96
3;22.48;;R' L' U2 R2 F D' B2 R B R' U2 F2 B2 R' F2 L F2 D2 R2;2020-05-27 11:29:49;22.48
4;24.55;;D2 F2 L2 R2 D2 B2 R2 B2 U L2 B D2 L D' F' R B2 F2 R B';2020-05-27 11:30:41;24.55
5;18.65;;U B U R U2 L U D' F' U' F2 L2 D' F2 U B2 L2 U' F2 U2 F2;2020-05-27 11:31:31;18.65
6;21.06;;D F2 D2 B U D R' B2 L' U2 F2 U' B2 U F2 L2 D2 L2 U2 B2;2020-05-27 11:32:20;21.06
7;26.83;;R2 F' D2 F2 D2 U2 L2 B L2 F' D2 U L' B L2 D2 B2 F' D2 B';2020-05-27 11:33:10;26.83
8;15.56;;B D' L2 F U2 B2 R B U2 B' L2 F2 R2 B' L2 D2 R2 F D';2020-05-27 11:33:54;15.56
9;23.31;;D2 B2 U B2 L2 B2 D F2 R2 U B2 F U B U F2 D' F R F;2020-05-27 11:34:37;23.31
10;29.20;;U' L' B2 D2 F2 L' B2 R' U2 R' D2 L R2 B' D' F D' U' R' D2 B';2020-05-27 11:36:25;29.20
11;24.03;;F2 D2 L B2 L F2 U2 B2 D2 L2 D2 L F' R B D B2 U R D2 B;2020-05-27 11:37:56;24.03
12;22.60;;B U2 B2 L2 B2 R2 U2 L2 B' U2 R2 L' U' R D2 R2 D2 F U B';2020-05-27 11:38:42;22.60
13;28.11;;R2 F2 B U' F' D R F B' R2 F2 B2 U2 F2 D F2 R2 U R2 D;2020-05-27 11:39:46;28.11
14;24.67;;U2 D' L' D R2 U' R2 B' R2 B2 L2 U2 L2 U' L2 F2 U' L2 D';2020-05-27 11:40:39;24.67
15;22.16;;B' D F2 B L U2 F' R' D' L F2 R2 U2 L D2 B2 D2 R2;2020-05-27 11:41:32;22.16
16;23.39;;L D2 L B2 F2 D2 R2 B2 F2 R' D2 F2 U' B2 U B U' F' R F';2020-05-27 11:46:08;23.39
17;DNF(15.25);;R F B' L F' U' R2 B D' R' U2 D2 R' U2 B2 U2 F2 U2 R2 F2 L';2020-05-27 11:47:49;15.25
18;22.70;;U2 R2 U' L2 F2 L B' L' U D2 B2 R F2 R' L' D2 R' B2 U2;2020-05-27 11:49:26;22.70
19;23.11;;B D2 F D2 L2 F2 R2 F' R2 F R2 D' L' U F' D F' L F' R2;2020-05-27 11:50:20;23.11
20;21.02;;R' F2 R2 F2 D' L2 D B2 D2 U2 R2 F' U' R' U2 B2 L2 R2 F U';2020-05-27 11:51:02;21.02
21;19.89;;D' F' U R F L U' F' U R2 U2 R2 D2 F U2 D2 R2 U2 B L2;2020-05-27 11:51:46;19.89
22;24.15;;U2 B D2 U2 F D2 U2 R2 D2 B' U2 F' L' B F2 L2 U2 R2 U L B2;2020-05-27 11:52:33;24.15
23;23.35;;U2 B' L2 B' R2 U2 F R2 F' D B U' F2 U' F2 R2 F2 R';2020-05-27 11:53:24;23.35
24;24.24;;R2 B2 R2 D2 F2 R' F2 R D2 R' F' L B L D U' B' R D R;2020-05-27 11:54:26;24.24
25;DNF(23.19);;D F2 U R2 U L2 F2 L2 D L2 R F L F L' D L U2 B' R2;2020-05-27 11:55:09;23.19
