No.;Time;Comment;Scramble;Date;P.1
1;16.84;;R' B D' R2 U2 F' L2 D2 F L2 D2 B F' L B F R B R D;2020-06-19 13:34:35;16.84
2;21.37;;D' R2 D2 F' D2 B' L2 F L2 R2 U2 B2 R D' B' L' B U2 B2 F;2020-06-19 13:35:19;21.37
3;19.76;;B' L' U' L2 F D2 R' F2 D' F2 B2 R2 B2 L' F2 L' D2 L' U2 L;2020-06-19 13:36:03;19.76
4;18.33;;F2 D2 B L2 F R2 F' D2 F D2 F2 D U R' B U2 B D' F2 R D2;2020-06-19 13:36:51;18.33
5;19.55;;F2 U2 F2 L2 U' L2 D' F2 U B2 L2 D B U' R' D' L F' R2 D2 R';2020-06-19 13:37:34;19.55
6;17.78;;R' U2 R D2 U2 F2 D2 F2 R F R' U L B' F' D F2 D R;2020-06-19 13:38:20;17.78
7;21.26;;R U B2 U R2 U R2 D' R2 F2 R2 L D2 B F R' D2 L' U' R;2020-06-19 13:39:01;21.26
8;19.38;;L2 B R U2 D' F R B' U B2 D2 L2 B2 U F2 L2 D B2 D' L;2020-06-19 13:39:40;19.38
9;23.10;;L2 U2 B2 R F2 L' F2 U2 F2 D2 L' F2 B' R' U F2 U2 L R' D' B';2020-06-19 13:40:22;23.10
10;17.20;;D' U2 F2 D' L2 D' F2 U' F2 L2 R2 B R' F' U' R B' F D;2020-06-19 13:41:09;17.20
11;20.74;;B2 D' L2 R2 D' L2 D2 U L2 D' F2 B' R' F L' U' B2 R D2 L2;2020-06-19 13:41:44;20.74
12;24.28;;D' F U R F2 R B' U2 F D2 L U2 R U2 L B2 R2 U2 R' F2 R';2020-06-19 13:42:30;24.28
13;18.96;;U' F' L2 B2 L F2 R2 B2 D2 R F2 R' U2 F D B' D2 F2 D2 U2;2020-06-19 13:43:15;18.96
14;20.26;;U' L' D2 B2 L2 F2 R' F2 R' D2 L2 U' L' D R F D' R U';2020-06-19 13:43:57;20.26
15;16.72;;L' B' D L2 B2 D' B2 L2 U R2 U' B2 R2 D' L' F L' R U2 F U';2020-06-19 13:45:31;16.72
16;18.57;;D2 L2 F' L D' R' F2 D F L2 F2 B U2 B' L2 F2 D2 L2 U2 F' D;2020-06-19 13:46:38;18.57
17;23.42;;U2 L' B L2 D' R2 D B2 U2 R2 D F2 U' F2 L' R2 B' F2 D' R2 F2;2020-06-19 13:47:25;23.42
18;19.11;;U L2 F2 L2 D R2 D2 B2 U' F2 D' F D R' F U' F' R B D;2020-06-19 13:48:10;19.11
19;19.77;;R2 F2 D2 F' R2 F' L2 F D2 R2 D B R F' D L' B2 F' U B;2020-06-19 13:48:50;19.77
20;19.05;;U2 L2 R2 U B2 U R2 B2 R2 U' L' D' L' B' U R' D' U' R' F2;2020-06-19 13:49:29;19.05
21;20.33;;F2 U2 F2 D2 L F2 R B2 L' D2 R B' L F2 D U' L D' L2 B;2020-06-19 13:50:07;20.33
22;22.16;;U2 F L2 B D2 F' R2 B' R2 B L U' B' F L2 U' L' D2 F D2;2020-06-19 13:50:47;22.16
23;20.09;;L' F' R2 B2 R B2 U2 F2 D2 R F2 L' U2 L2 U' L D B2 R' B;2020-06-19 13:51:30;20.09
24;17.79;;F' D B2 D' F2 U B2 D' F2 L2 U' F2 U2 L F2 U L' R B F2 U2;2020-06-19 13:52:11;17.79
25;21.82;;D' L D' L2 R2 B2 U L2 D' U2 L2 D' F' L D F' L2 B' L;2020-06-19 13:53:19;21.82
