No.;Time;Comment;Scramble;Date;P.1
1;22.10;;B2 D2 B2 R2 U' L2 U2 B2 U R2 U L R F' R U R2 U2 F R;2020-05-25 13:37:43;22.10
2;26.60;;D2 L U2 L F D' R F2 L2 U R2 D F2 R2 U' F2 B2 U2 R D2;2020-05-25 13:38:23;26.60
3;20.71;;F2 L2 F2 R2 D2 F2 D F2 D B2 L' U F' L D2 F' D2 L R;2020-05-25 13:40:35;20.71
4;18.68;;R F U B D2 R' D L U2 R2 D2 R2 U2 B2 L2 B2 D R2 U' F;2020-05-25 13:42:23;18.68
5;24.02;;L2 F2 R2 D B2 R2 D2 R2 D' B2 D L D B' D F L2 B2 R2 U;2020-05-25 13:44:10;24.02
6;21.69;;D2 F2 D' L2 B2 F2 U2 L2 B2 U F2 B' U R2 F2 D' L' D U' R;2020-05-25 13:45:21;21.69
7;22.80;;U L' U' F2 U2 B2 F2 R2 D' U2 R2 B2 F' D B' F2 D' R D2;2020-05-25 13:47:27;22.80
8;20.92;;D' B R2 U2 R2 U' B2 U2 F2 D L2 B2 D' B' L' F2 D2 R' F' U;2020-05-25 13:49:17;20.92
9;27.20;;L2 D B' U2 R U2 F' U' L U2 F2 U' L2 B2 D' F2 R2 D' F2 U;2020-05-25 13:50:35;27.20
10;24.65;;L' F' D B2 D L2 D' R2 D2 R2 F2 U' R2 U2 R' B R D F R B2;2020-05-25 13:51:22;24.65
11;28.72;;F' D' L' D' L F' R2 F L F2 L' D2 L2 D2 B2 L F2 R' F';2020-05-25 13:52:07;28.72
12;27.19;;F2 D' B2 L2 D' B2 U2 R2 U R2 D' R' B' R' D U' R' D R B F;2020-05-25 13:53:43;27.19
13;19.08;;B2 D' U' B2 F2 D' L2 F2 U' B2 R2 L B L' B R2 D' L' F2;2020-05-25 13:54:58;19.08
14;18.81;;L2 D2 U' F2 U2 R2 D' L2 F2 L2 B2 D F D2 U' R' D R U' L F2;2020-05-25 13:55:40;18.81
15;22.72;;L B2 U F' L' B2 U R L F R2 B' D2 F' R2 U2 L2 B U2 L2 B;2020-05-25 13:56:24;22.72
16;21.23;;L2 D2 R2 B2 D' U' B2 D F2 B' U B2 L2 D' R U' B F' R';2020-05-25 13:57:14;21.23
17;27.26;;U2 F' R U F2 U B2 R2 B2 D L2 D B' R D B F2 D' F;2020-05-25 13:59:51;27.26
18;23.35+;;U' B2 R2 U' F2 D' L F U D F2 D2 B2 R2 F2 D B2 D L2 B';2020-05-25 14:00:54;21.35
19;25.56;;F U2 R2 F2 L U2 B2 R2 B2 L2 R' F2 R F R D U' B U' L D;2020-05-25 14:02:13;25.56
20;23.02;;L U' B2 R2 U' B2 L2 D' L2 D U2 F2 B L R2 D' U2 B2 F2 U' L';2020-05-25 14:02:58;23.02
21;23.55;;F' L' D L2 U B U L F2 U' R2 B2 R2 B2 D' F2 U' R2 B2 D2 R;2020-05-25 14:03:45;23.55
22;20.26;;F' D2 R2 U L2 B2 D L2 U' R2 U F' D2 F D F' D' B;2020-05-25 14:04:34;20.26
23;24.86;;D' R D2 F2 U2 F2 L F2 L2 F2 D2 L' R2 B L' F' U F' U R' U;2020-05-25 14:06:50;24.86
24;24.91;;F2 R2 U2 B2 D L2 U2 L2 B2 L2 F' R2 B R D2 L' B D2 B2 U';2020-05-25 14:09:26;24.91
25;21.77;;B2 R D2 L' D F2 D' R2 B U2 B L2 B' U2 B U2 F D2 R D;2020-05-25 14:10:20;21.77
