No.;Time;Comment;Scramble;Date;P.1
1;18.46;;L U2 B' R2 D' B' U' B U2 F2 U2 L2 U2 F' U2 F2 B L' F2;2020-06-16 13:13:09;18.46
2;21.55;;R D2 B2 U B2 U R2 U2 B2 D' L2 R' B U2 L' R' B' L2 B' R2;2020-06-16 13:15:05;21.55
3;20.95;;U F' L2 B2 U' L2 U F2 U2 L2 F2 D L2 U R U' B2 D2 L D2 U2;2020-06-16 13:15:55;20.95
4;21.10;;U' F2 B R2 F' U B F2 R F2 R2 B2 D2 L' D2 R2 U2 R' D2 U';2020-06-16 13:16:38;21.10
5;17.45;;R' L F2 U' D R' L2 U D2 F R2 B2 L2 D2 B' L2 U2 F';2020-06-16 13:18:42;17.45
6;17.74;;D2 U2 L B2 L' U2 F2 R' B2 D2 L' D2 B' L U F L D' R2 D2 F';2020-06-16 13:19:19;17.74
7;18.95;;R' F2 L2 B2 D F2 D' B2 D U R F' U' B L R D' B' U';2020-06-16 13:19:53;18.95
8;17.81;;D U2 R F2 R' D2 R2 B2 D2 R2 B2 D2 R' F' U L2 B F D2 F2 L';2020-06-16 13:20:38;17.81
9;18.46;;U' F D F L F2 D2 F' R2 B2 U F2 D' R2 U D2 F2 D' R2 F2;2020-06-16 13:21:15;18.46
10;21.84;;F' L B L2 F2 L2 U B L' B2 R F2 U2 F2 L2 F2 U2 R F2 D';2020-06-16 13:21:56;21.84
11;21.95;;U' B' L2 U2 B2 D F2 D' L2 F2 U2 R2 B2 L B' L2 U R' B2 R2 D;2020-06-16 13:22:47;21.95
12;19.32;;U' F2 U' F2 R2 D2 L2 F2 U B2 F2 D2 B' D' B U B F' U L B2;2020-06-16 13:23:32;19.32
13;26.40;;R2 D2 L2 B L2 B2 R2 F L2 F' D2 F2 D L' B2 U' B F U R' B2;2020-06-16 13:24:31;26.40
14;15.22;;F2 B D' R L2 B R2 B2 R F D2 F R2 B2 L2 D2 B' L2 B';2020-06-16 13:25:22;15.22
15;19.78;;B D R' D' U' R2 U' F2 L2 B2 L2 D' L2 R2 B U' L2 F' R' D' L;2020-06-16 13:26:29;19.78
16;19.27;;F' U L' B' L F2 R2 D R B2 U2 F2 R F2 U2 R F2 B2 L B2;2020-06-16 13:27:12;19.27
17;23.64;;F L2 F' B2 R' U' R2 L' D2 F2 D2 B' U2 R2 U2 F R2 F R2 B2 U;2020-06-16 13:28:00;23.64
18;20.09;;L2 B D' R2 B2 L' F' D U2 L' D2 R' F2 L2 F2 D2 F2 U2 R U2 F';2020-06-16 13:29:01;20.09
19;17.94;;B' F2 L2 U2 R U2 R' B2 U2 B2 L U' B R2 F2 D' B' L F;2020-06-16 13:29:43;17.94
20;17.94;;B' U2 F2 R2 U' R2 B2 L2 U' R B D B D L2 B' R F';2020-06-16 13:30:21;17.94
21;18.88;;U2 F R2 U R2 B2 D U R2 U L2 R2 B' U' R2 D L' R2 U2 F';2020-06-16 13:31:09;18.88
22;19.38;;R' D2 L2 D2 F2 U2 F2 U2 L U2 L2 B D R' F' R2 F' L' U B' F;2020-06-16 13:32:35;19.38
23;18.02;;R2 B D2 L2 D2 B2 D2 R2 F' L2 B2 U2 D' B2 U R' D2 L D' F2 D2;2020-06-16 13:33:17;18.02
24;22.68;;F D2 F2 D2 B' R2 B R2 U2 B F' U' B D2 R' F2 U' B' L2 B;2020-06-16 13:33:57;22.68
25;20.63;;L2 D U F2 D2 F2 L2 U F2 U2 R U R2 D L2 R2 B' L2 U2;2020-06-16 13:34:43;20.63
