No.;Time;Comment;Scramble;Date;P.1
1;24.89;;L2 F2 D2 B L2 U2 L2 F' U2 F D2 F2 D' L U B2 D' L R2 D' R;2020-05-28 11:52:45;24.89
2;25.83;;L' R2 B' L2 U2 F' L2 B' D2 U2 R2 D' B F' L B D2 U' L;2020-05-28 11:53:37;25.83
3;20.27;;D R' U2 R2 D' B' U' B' R B U2 B U2 D2 B2 L2 D2 B' R2 B L2;2020-05-28 11:54:26;20.27
4;24.75;;R2 B2 R U2 F2 R F2 D2 L U2 F2 R' F' D2 U' B U' L2 U2 R' D';2020-05-28 11:55:25;24.75
5;24.91;;U2 B' D2 F2 U' F2 D L' D2 B R2 B L2 F R2 U2 F2 U;2020-05-28 11:56:16;24.91
6;20.18;;D L2 D L2 U' B2 R2 D L2 F2 U B' R2 B2 D' U R B' L U R';2020-05-28 11:58:24;20.18
7;19.16;;D' L' F B2 D' F B' R' F D2 R2 B' L2 U2 L2 F D2 F L2 U;2020-05-28 11:59:50;19.16
8;20.81;;B2 R2 F2 U2 L' D2 R' D2 U2 R2 B2 L' U' R' B2 L2 B' U R2 U L2;2020-05-28 12:00:39;20.81
9;19.69;;R2 D2 U2 F2 L2 D2 B' F2 U2 F' R2 F D R' U2 F R F D' B U';2020-05-28 12:01:21;19.69
10;22.62;;U' R' F2 U L2 B2 D2 U L2 U' R2 U' F2 R2 F' U' R B L2 B2 U;2020-05-28 12:02:02;22.62
11;26.97;;B L' R2 D L2 D F2 U L2 D' R2 D L2 R D U2 R' D2 B R;2020-05-28 12:04:14;26.97
12;DNF(21.81);;R' B' U2 F2 D' B2 D F2 U2 R2 B2 F2 U' F2 L' F2 D2 F2 U R2 U2;2020-05-28 12:05:08;21.81
13;22.94;;L2 B2 L' U' R2 D' B2 U L2 U' L2 D2 F2 R2 B' F' D' B2 R' B' U;2020-05-28 12:06:52;22.94
14;25.46;;F B2 R' D2 R2 U2 F2 U2 R2 B2 L' U2 F R B U' L D R B2;2020-05-28 12:08:09;25.46
15;20.65;;U2 F' D2 B U2 B' L2 F' R2 F L2 U L R' B' R U F' D U;2020-05-28 12:08:56;20.65
16;DNF(13.26);;B2 U2 R2 U2 F' L2 F' U2 B F U2 L' B U L' D U' R' F' U2;2020-05-28 12:10:00;13.26
17;25.93;;L U' L2 B' D2 R2 D2 F2 U2 F' L2 R2 B' L' D U F U2 R2 D2;2020-05-28 12:11:10;25.93
18;21.03;;R2 D2 L D' B D F2 R' U L2 B2 U2 R2 F2 D' F2 U2 L;2020-05-28 12:12:10;21.03
19;26.11;;L2 D R2 D' U2 F2 L2 R2 D' F2 R U L B' F U' F2 L2 B' L';2020-05-28 12:13:03;26.11
20;22.03;;F' L' D R2 U' F2 R2 D' L2 U' R2 U R2 F L' D2 B2 D' F U2;2020-05-28 12:13:54;22.03
21;22.19;;L2 U R' U2 R2 U F D2 L2 F2 D2 L' B2 U2 R2 D2 L' D2 R2 D B';2020-05-28 12:14:42;22.19
22;DNF(23.00);;D2 L' B2 R B2 L' D2 B2 L R U2 F' D L' B' F2 D L D F2;2020-05-28 12:15:47;23.00
23;DNF(26.24);;B D2 L2 F D2 B2 R2 F' R2 F R' D2 L B2 F' D' F' L2 B2 D;2020-05-28 12:17:01;26.24
24;21.59;;B2 R F2 L' U2 R' F2 U2 R2 D2 F2 L F' D B' U' R' B2 D2 B2 R';2020-05-28 12:18:09;21.59
25;23.75;;B2 D2 R2 B U2 F L2 B' D2 L2 B' R2 U' F R' U2 B' R D' L D';2020-05-28 12:18:54;23.75
