No.;Time;Comment;Scramble;Date;P.1
1;19.54;;L2 D B2 U' B2 R2 D' B2 R2 F2 U2 B' L D2 F2 D' B L2 U' B';2020-06-12 13:02:58;19.54
2;22.67;;L R2 B2 U2 L2 R2 U' F2 R2 D2 U B2 U' B' L' R2 D' L2 R' F' D';2020-06-12 13:04:04;22.67
3;22.02;;L' D B U' L D' F B' D R U2 B2 R2 L' F2 R B2 L F2 R U2;2020-06-12 13:04:45;22.02
4;21.44;;U2 L2 B2 D' B2 R2 U2 F2 U' L2 U' F' U B D' L' B' D' R' U L2;2020-06-12 13:05:43;21.44
5;17.91;;D' R2 B U2 F' B2 R B2 R' U F2 U B2 U F2 R2 F2 B2 D B2 U';2020-06-12 13:06:23;17.91
6;18.96;;D U L2 D B2 L2 D' B2 D' L2 R2 U' R D L' D L2 B U R D';2020-06-12 13:07:00;18.96
7;21.37;;L D B2 D F2 U L2 U2 B2 U' L2 U B' R' B' R2 F2 D2 R';2020-06-12 13:08:33;21.37
8;DNF(12.72);;L F' R2 F D F R L' B D2 F2 U' R2 F2 L2 U F2 L2 R;2020-06-12 13:09:38;12.72
9;20.20;;U2 R' U2 F2 L B2 R' U2 B2 R2 D2 R2 B' L' U' R F L2 R';2020-06-12 13:10:37;20.20
10;19.32;;L' D' F2 L' B D' R L U F D2 F L2 U2 R2 B' R2 F' L2 B2 U2;2020-06-12 13:13:37;19.32
11;DNF(24.37);;D F U2 L2 D2 B' D2 B F2 D2 B' L2 U' R' F L' U2 F U R';2020-06-12 13:14:21;24.37
12;18.30;;R B2 R' D2 R F2 U2 F2 U2 L R F L' F' R B U' R2 F2 U';2020-06-12 13:16:00;18.30
13;22.83;;B U B L' U' F2 D R L2 D2 R' B2 R F2 L' F2 R F2 D2 F';2020-06-12 13:16:39;22.83
14;20.45;;D B' U2 R2 D F2 L2 R2 F2 U R2 D' L D B U B' F' L' R';2020-06-12 13:17:25;20.45
15;19.60;;R' F B2 U' B2 D' F2 U2 B2 D' U' R2 F' R' D2 L' D' B R2 U2;2020-06-12 13:18:06;19.60
16;19.75;;B2 L D2 R2 D2 F2 L D2 R U2 B2 L2 D B' L2 F' R2 D2 B2 L' D';2020-06-12 13:19:15;19.75
17;18.80;;L B R2 D' R2 D B2 U' L2 D' R2 U2 L2 D L' U' R' F' D2 U';2020-06-12 13:20:38;18.80
18;23.95;;F' L D U2 F2 L2 B2 L2 U2 B R2 F U' L' U' B2 F2 U R';2020-06-12 13:23:21;23.95
19;15.85;;F' U B2 U R' D' L2 D' B2 R2 B2 D2 F2 U2 L B2 R U2 D2 B';2020-06-12 13:24:08;15.85
20;24.54;;R2 D' R B' U2 F L U L2 F' L2 U2 B R2 F L2 B' D2 B' R';2020-06-12 13:24:52;24.54
21;23.35;;D2 F' D2 B2 D' F2 L2 B2 R2 D' F2 U' B2 U R' D L2 U2 L' U2 F;2020-06-12 13:26:30;23.35
22;23.17;;F U' L2 U2 R F2 U2 R D2 L' B2 L B2 F2 U' L' B2 F' R2 D';2020-06-12 13:27:14;23.17
23;17.88;;D2 L' D2 B2 L2 D2 L D2 U2 R' U2 B R U F' U2 F2 D U B;2020-06-12 13:29:13;17.88
24;21.38;;F R2 D2 U2 B2 R2 U2 B L2 B L2 U' B2 L U2 F' D' B U' F;2020-06-12 13:29:48;21.38
25;21.05;;L' F2 D' B2 R2 U2 L2 D L2 U L' F L2 B' D2 R U2 L' D;2020-06-12 13:30:33;21.05
