No.;Time;Comment;Scramble;Date;P.1
1;21.49;;B2 L' B D' F' R' D F R2 F B2 L2 D2 F' B2 D2 L2 D2 L F;2020-06-02 09:41:51;21.49
2;22.59;;U R2 L D B2 R' B' U' R F2 D2 L B2 R' D2 F2 L D2 R' U;2020-06-02 09:42:39;22.59
3;22.57;;B' U L2 D' F2 L2 F2 D' U2 R D2 L B D' L' B' L';2020-06-02 09:46:34;22.57
4;20.86;;U2 D2 L' D2 F' B' D F D' R2 L2 U' R2 U D2 F2 B2 R2 D2 B2;2020-06-02 09:47:54;20.86
5;17.88;;L2 U' F2 D' L2 R2 D' F2 U' B2 R2 F2 B R F D2 L D2 B R B2;2020-06-02 09:48:36;17.88
6;20.18;;F2 D2 R U' B' R B' U' F2 U R2 B2 U B2 U B2 D2 L;2020-06-02 09:49:10;20.18
7;24.20;;B R2 F2 D2 F R2 F U2 B' L2 F' D2 L' B D F R' F' D2 U';2020-06-02 09:50:08;24.20
8;23.79;;R2 U2 L2 U L2 U' B2 U L2 F2 U F R F' D' F U R' D2;2020-06-02 09:50:54;23.79
9;23.28;;U2 D' F L2 F2 R' D' L U D2 B D2 L2 B R2 B' U2 R2 B' U2 F;2020-06-02 09:51:49;23.28
10;23.99;;D2 L' D2 R' B2 D2 B2 R' B2 R' B2 F L2 U R' D F2 L' F' R2;2020-06-02 09:53:12;23.99
11;20.97;;U B2 L' D2 F2 D2 F2 L' B2 D2 L B2 L' B D2 U' R' B R2 F2 D';2020-06-02 09:54:05;20.97
12;22.13;;U' B2 U2 L2 B2 D2 R2 B2 U R U' L2 D2 R' D2 F R D;2020-06-02 09:54:43;22.13
13;20.41;;R' D2 U2 B L2 F' D2 B' F2 U2 R2 U L B R' U R2 D2 U' B';2020-06-02 09:56:20;20.41
14;23.73;;B D' L2 B R2 F D2 B L2 F R2 U2 L F2 D R' F2 L2 F2 U';2020-06-02 09:57:03;23.73
15;24.85;;L' U' R' D L U2 F L' B2 D' R2 U' B2 D2 B2 L2 U2 R2 U' R;2020-06-02 09:58:06;24.85
16;21.54;;U L2 B D L D B F2 D' F2 D2 L2 F2 R2 D F2 D2 L U;2020-06-02 09:58:56;21.54
17;24.61;;R2 D' R2 F2 D2 U L2 U2 F L U2 B2 D B2 U' F U;2020-06-02 09:59:58;24.61
18;21.80;;U' B' L U2 L F2 L R' F2 D2 L' U2 D F D L' B2 L' F';2020-06-02 10:00:50;21.80
19;20.12;;B2 U B2 U2 L' D2 L2 F' D2 R2 U2 L D2 B2 L' F2 B2 U2 L F;2020-06-02 10:01:32;20.12
20;DNF(30.77);;L F' L' D2 R2 L' D' F' U B2 L U2 L' U2 L2 U2 R D2 F2;2020-06-02 10:02:55;30.77
21;18.54;;R F' L U2 B' L' U D2 F U2 F R2 L2 B R2 D2 B R' F L;2020-06-02 10:04:00;18.54
22;DNF(24.55);;B2 R D2 B2 L2 R F2 L' B2 U2 B D B2 U' L' D F R' B;2020-06-02 10:04:58;24.55
23;23.23;;L' B' D' F' B L' F' U' L U R2 D' B2 D' F2 L2 D2 F2 L2 D' F2;2020-06-02 10:06:17;23.23
24;15.35;;F2 R2 F2 U2 F2 D2 U L2 D F2 L2 B2 F D2 R F U' L' R' D' F;2020-06-02 10:07:03;15.35
25;19.28;;D2 B2 F2 U' F2 L2 F2 R2 D2 U2 F2 U' B' R D' B' L' B2 D F2;2020-06-02 10:07:58;19.28
