No.;Time;Comment;Scramble;Date;P.1
1;19.69;;R B U F2 R' F L D B' L2 U2 L2 F L2 U2 F' R2 U2 F2 D';2020-06-18 13:39:20;19.69
2;16.80;;R2 F' R2 F L2 B' L2 F U2 R2 F2 L' F2 D2 B' D' B R B2 F';2020-06-18 13:39:57;16.80
3;21.22;;R' B D2 L2 F' R2 B2 D2 F2 R2 U' B' R2 B D2 L F' R' D;2020-06-18 13:40:51;21.22
4;20.14;;B' D2 L' B2 L B2 U2 L2 D2 L' B2 R B' U' L D' B' U L B2;2020-06-18 13:44:29;20.14
5;18.74;;L2 F2 R2 B D2 R2 F L2 D2 U2 R' U B L D U L' U' B' R';2020-06-18 13:45:22;18.74
6;20.50;;B2 L2 U' F2 D' R2 B2 U2 R2 B2 D' L2 B L D F2 D F2 R' D R;2020-06-18 13:46:13;20.50
7;20.46;;L U2 L' U' F2 R B R L2 U2 L2 F2 R2 L2 U2 B' D2 F2 R2 D;2020-06-18 13:47:02;20.46
8;18.49;;F' U' F R D' F' D' B' U' F2 R2 U' D L2 D2 L2 F2 D L2;2020-06-18 13:48:18;18.49
9;19.19;;U B2 R2 D L2 F2 U' B2 D F2 L' B2 D' U L U B' F R' U2;2020-06-18 13:49:05;19.19
10;19.97;;R F2 U2 R2 D2 L2 F' D2 L2 F2 D2 R D' L R2 D L D' B2;2020-06-18 13:51:11;19.97
11;21.94;;L F L' F2 R B2 D2 L2 B2 F2 L D2 U L' R2 U' F2 D R';2020-06-18 13:51:47;21.94
12;18.76;;R2 D' R' B2 U2 F2 R2 F2 U' L2 R2 D L2 R U B F R' F' U;2020-06-18 13:52:33;18.76
13;18.88;;B L2 U2 F U2 F2 U2 B' L2 B' D2 L' U' B D R D' F U' F' R2;2020-06-18 13:53:44;18.88
14;19.51;;U2 F D2 B L2 U2 B' L2 U2 F U2 F' R F D2 B' D U L B2 U;2020-06-18 13:54:29;19.51
15;24.19;;F' D' R F2 R L' U R L2 U D R2 U' R2 B2 R2 F2 B2 D;2020-06-18 13:55:18;24.19
16;18.85;;F' U' L2 D2 F2 D B2 F2 L2 U' R2 U F' D L' F D' L2 R' B L';2020-06-18 13:56:18;18.85
17;19.56;;F2 R L2 D R2 F2 R' D2 B' R2 F' D2 R2 U2 L2 F B2 R2 L2;2020-06-18 13:56:51;19.56
18;17.25;;L D2 U2 F2 D2 F U2 F L2 R2 B D R F U2 L' B2 D' L U;2020-06-18 13:57:27;17.25
19;20.52;;D' B' R D' R B L U' R F D2 B2 L2 F' D2 F U2 L2 B L2;2020-06-18 13:58:01;20.52
20;22.37;;B F2 R2 B2 D R2 D2 R2 D B2 U R B F' D' R D' U L2 F2;2020-06-18 13:58:43;22.37
21;23.41;;B' D' R2 D' F2 R2 D' L2 F2 D' R2 U' B L U L' U2 R U B2;2020-06-18 13:59:28;23.41
22;19.37;;L2 D' L2 U F2 R2 F2 U' F2 U' F2 U' L' F D L B2 L2 D' U';2020-06-18 14:00:17;19.37
23;22.48;;U2 L2 R2 B2 U' B2 U R2 D2 F2 L2 F2 B' D' U2 F' L2 R2 D R';2020-06-18 14:01:06;22.48
24;19.49;;U2 F L2 U2 B2 U2 F L2 D2 R2 B2 L' F' D' R U2 B' L2 F' D L2;2020-06-18 14:01:51;19.49
25;21.77;;B2 U' F2 L2 D2 B2 D B2 R2 F R2 D F' D U2 L' F2 R D';2020-06-18 14:02:30;21.77
