No.;Time;Comment;Scramble;Date;P.1
1;21.64;;B' U' R2 D' F' L2 U' R' U2 B2 U2 B2 R2 L D2 L' B2 L D2 U F';2020-05-29 14:16:04;21.64
2;23.89;;R F2 D B2 U' R2 B' L R2 B2 D2 B U2 B' U2 L2 B2 U2 F' L';2020-05-29 14:16:49;23.89
3;23.84;;L' D2 R2 D' F2 L2 U' R2 U B2 D2 B2 L D2 B R' F' L' D U2;2020-05-29 14:20:42;23.84
4;18.45;;B D R2 B2 L2 B2 L B D' F' R2 B' L2 U2 L2 B' U2 R2;2020-05-29 14:21:24;18.45
5;20.39;;F L2 R U2 F2 R' F2 R2 F2 U2 B2 L' D' R U2 R' B U B;2020-05-29 14:22:06;20.39
6;DNF(36.79);;B2 D2 B2 D L2 B2 U' B2 U F2 B' R' F L' D2 L' U B2 D' B2;2020-05-29 14:23:11;36.79
7;19.59;;B L2 D2 L U2 B' L B U D F2 R2 L2 B2 U F2 D' L2 B2 D';2020-05-29 14:24:31;19.59
8;DNF(24.57);;L2 U2 R2 F2 D2 F L2 B F L2 F' D F' U B' L D R U F' L;2020-05-29 14:25:33;24.57
9;24.43;;B' D2 U F2 R2 U2 B2 F2 U R2 D' L F' U' R B' L2 D' B R2;2020-05-29 14:27:00;24.43
10;20.99;;R F2 L2 R2 D2 F L2 B' U2 F D2 R2 F' L D' F U2 R F' U' F2;2020-05-29 14:27:48;20.99
11;31.19+;;U' D B' L' F2 D R F2 R2 U2 R2 U F2 D B2 D' B2 U2 F' L;2020-05-29 14:28:47;29.19
12;23.25;;L R D2 B2 L' U2 B2 L2 B2 F D2 B' R2 D2 U B' L D2;2020-05-29 14:29:47;23.25
13;17.36;;F2 D2 F2 L2 R D2 L2 B2 R F2 U' R D2 U B R B2 D R' U2;2020-05-29 14:30:34;17.36
14;24.30+;;F' L B2 R2 D2 L2 U F2 D' U' B2 F2 L' F' D' F2 R D2 L F2;2020-05-29 14:31:22;22.30
15;22.63+;;F' D2 F' D R' F' B2 D L B2 R D2 F2 B2 L' F2 U2 R2 B2 U2;2020-05-29 14:32:13;20.63
16;23.74;;L B2 U' B2 L2 D' B2 R2 D F2 U2 B2 U' L R' F' U' L B' R2 D';2020-05-29 14:34:20;23.74
17;24.33;;L2 B L2 D2 B2 F2 U' F2 D' B2 D' B2 F2 L U2 B2 U L D L;2020-05-29 14:35:02;24.33
18;22.94;;B2 L' B2 R2 U2 R' U2 R' D2 B2 D2 F2 U R2 B2 L D' L' U B';2020-05-29 14:35:52;22.94
19;23.61;;U' R U2 F2 R2 U2 F2 D L2 F2 U L2 F2 R' D' B' L' R' F' L';2020-05-29 14:36:36;23.61
20;DNF(30.00);;F' L B2 U L' D B' L U2 F' L2 D2 F' R2 D2 B2 L2 B' U2 R B;2020-05-29 14:37:21;30.00
21;21.76;;L2 U2 R U2 F2 R F2 D2 U2 R2 U' B' L' B' R2 F' R2 F2 R2;2020-05-29 14:38:23;21.76
22;21.64;;D B2 U' B2 U R2 U B2 F2 R2 B R' D B2 L2 R2 D B' D U;2020-05-29 14:39:09;21.64
23;25.43;;D2 R' B L2 U' B2 R2 D' R2 D' L2 D B2 D' R D2 L' F U F' R2;2020-05-29 14:39:54;25.43
24;21.41;;B D' R D R2 F' U' F B R2 B D2 B' L2 U2 B D2 F D2 U' R;2020-05-29 14:40:38;21.41
25;20.66;;F' L F2 D' L2 D R2 D2 B2 D L2 U R2 U2 L' D2 F' L F D2 B';2020-05-29 14:42:39;20.66
