No.;Time;Comment;Scramble;Date;P.1
1;20.71;;L' U2 B2 D' R2 L' F' D' L B2 D2 L2 D2 L U2 L F2 U2 L';2020-06-04 13:11:19;20.71
2;23.62;;R2 D' L2 D L2 R2 U' R2 U2 F2 U2 B' L' F' U R' U L F2 D' F2;2020-06-04 13:12:16;23.62
3;DNF(27.02);;L2 F' R U2 L' D2 U2 B2 L D2 L2 R' B2 F' D' B' D2 U' B D';2020-06-04 13:13:29;27.02
4;20.81;;U2 F2 L F' D2 R' U' F U B2 L2 F2 B2 U2 F2 L' U2 B2 R' B2 R';2020-06-04 13:14:56;20.81
5;23.33;;D U2 B2 F2 R F2 D2 R2 B2 R2 F2 R2 B' D F' D' U' F2 L' R;2020-06-04 13:16:00;23.33
6;22.31;;F' L2 U L2 F2 R D2 B2 F2 L2 R U2 F2 R' B' L2 D' F2 R' F2 L;2020-06-04 13:18:13;22.31
7;23.84;;F2 U F' D' R2 U2 B2 D2 F2 L2 D' R2 F2 R2 B' D2 F' D' L' B R;2020-06-04 13:19:15;23.84
8;25.34;;B' L2 B R2 D2 F L2 U2 L2 B2 L' U' R U2 R' B' F2 U' F' U2;2020-06-04 13:26:17;25.34
9;22.94;;R2 L' F2 D2 B' U L F2 R2 U F2 U R2 F2 L2 B2 U' D2 L2 F' R';2020-06-04 13:27:13;22.94
10;21.19;;D' B2 F2 D L2 B2 F2 D' B2 F2 R2 U B' L R' D L' F D L' B;2020-06-04 13:31:11;21.19
11;22.26;;D' F' B R F U' F2 L' B2 L' B2 U2 R2 D2 L' F2 L' F2 U F';2020-06-04 13:31:59;22.26
12;21.82;;U' L2 R2 B2 U B2 U F2 D2 F D' B' R D' L' D' F' R' U2;2020-06-04 13:32:47;21.82
13;22.51;;U R' B R2 B2 D2 F R2 B2 U2 L2 F D2 R D2 F U' B2 R B2 F;2020-06-04 13:33:46;22.51
14;DNF(28.97);;B' L' U B2 R F D B2 R' B2 U2 L' D2 L' D2 B2 D2 F2 D' R';2020-06-04 13:34:45;28.97
15;19.74;;B2 U2 B' D2 U2 R2 B' U2 F' L2 R2 B' R U L' B' D2 L' F D U';2020-06-04 13:35:52;19.74
16;25.53;;B2 L2 B U2 F D2 L2 F2 L2 B2 U F D R D' B L' R' B';2020-06-04 13:36:40;25.53
17;DNF(10.12);;L2 U' F2 R2 B2 R2 D2 U' B2 D' R2 F' L D U' B R' D U2 B U;2020-06-04 13:37:48;10.12
18;23.78;;R' B' D2 U2 B2 D2 R F2 L F2 D2 F2 R2 U L2 R2 B R' U' L;2020-06-04 13:39:29;23.78
19;19.48;;D' R2 L' D' L' D2 B' U2 L2 F2 U2 B2 U2 R' F2 B2 D2 R D' L';2020-06-04 13:40:42;19.48
20;19.93;;D' B' F2 R2 F2 D B2 U' F2 D R2 B2 F2 L' U2 L' D' B' F' L';2020-06-04 13:41:26;19.93
21;23.43;;R2 U2 B D2 B' R2 F2 L2 U2 B' D' R D' L F' R B' D' B' D';2020-06-04 13:42:16;23.43
22;21.95;;L B2 U F2 D U R2 U' L2 U R2 B' R' F' U2 B' F2 D' B' U2 L;2020-06-04 13:43:13;21.95
23;25.56;;D2 U2 L2 B L2 U2 F' R2 D2 U2 B' D2 U L' D' L' F' U2 B2 F' D';2020-06-04 13:44:07;25.56
24;26.43;;F U2 R U' R F U2 D R' F2 R2 B' D2 B' D2 B2 U2 L2 B' D2 R2;2020-06-04 13:45:27;26.43
25;16.51;;B U R2 F R2 D2 B2 U2 B2 F' D2 L2 U2 R U F R2 U F U;2020-06-04 13:46:16;16.51
