No.;Time;Comment;Scramble;Date;P.1
1;19.33;;U' L U' D2 F' L F' B R2 L U2 B2 L2 F2 D2 L' U2 R' B2 U;2020-06-21 13:02:16;19.33
2;20.52;;R F L2 U L' D2 F U2 F B2 U' B2 U L2 D2 F2 U' F2 B2 U;2020-06-21 13:02:55;20.52
3;15.76;;D' L' D2 F2 R2 U' B2 U F2 L2 U R2 U' R B' D R F R2 B;2020-06-21 13:03:33;15.76
4;21.75;;R2 B2 R2 B' D2 L2 B' L2 F2 D2 R' D' B2 U F' D' F D2 F2;2020-06-21 13:04:07;21.75
5;22.63;;R' B2 D2 L' D2 L2 U2 B2 L U2 R U L2 B U B' F' R2 U R;2020-06-21 13:04:44;22.63
6;16.94;;R D2 F2 L2 U2 F' D2 B D2 B2 F' L D B2 U2 B L U L2;2020-06-21 13:05:43;16.94
7;22.86;;B2 R2 B2 U2 F2 U B2 R2 B2 D L2 D' R B' U2 L2 B2 F' R F;2020-06-21 13:06:31;22.86
8;18.92;;R U2 L2 B2 F2 D2 R2 B2 D' B2 D F2 D' B' L R2 F' U' L2 B';2020-06-21 13:07:30;18.92
9;18.14;;D L2 F D F' B L F' U2 F' D2 L2 U2 B' D2 B U2 R2 U;2020-06-21 13:09:15;18.14
10;20.02;;F2 D L' U B2 D2 B2 F2 U' L2 D2 U L2 B2 L F2 L F R U' B2;2020-06-21 13:09:49;20.02
11;20.51;;F2 U2 R2 B2 L F2 U2 L' B2 F2 U2 D' B' R F U2 B2 L2 F R2;2020-06-21 13:10:28;20.51
12;22.01;;L' D2 U2 R B2 U2 R2 D2 U2 R2 B2 U R' D2 R' F' U2 L B;2020-06-21 13:11:18;22.01
13;19.83;;R2 D2 F2 L2 F' U2 L2 B' U2 F2 L2 U2 R B' U2 B' L2 R' D' L2;2020-06-21 13:12:04;19.83
14;24.18;;D' B L2 U F2 U L2 D2 B2 R2 U L2 R2 U' F' L R' B' R U' B';2020-06-21 13:12:39;24.18
15;20.31;;B2 L' F2 R' D2 B2 L2 D2 U2 L' F L2 B R U L2 B D F' U';2020-06-21 13:13:33;20.31
16;19.61;;B' U L' F' U2 B2 F' D2 F2 R2 F2 R2 U2 L2 U' R' B' F2 R D;2020-06-21 13:14:20;19.61
17;18.23;;R2 D' F2 R2 D2 U' F2 D F2 U' L F' U B2 R2 F' L' B2 F' U';2020-06-21 13:15:13;18.23
18;18.75;;D' L U' B' R L' D' L U2 B2 U2 B2 R F2 L B2 L U' L';2020-06-21 13:16:10;18.75
19;23.01;;R' L2 F2 U B2 U' L2 U R2 D F2 L2 U' F R' U' F' L' U2 R2;2020-06-21 13:17:13;23.01
20;20.13;;U L2 D2 R2 D F2 D' B2 D' B2 F2 U' F' R' D' U2 B2 D' U B L;2020-06-21 13:18:10;20.13
21;19.75;;L2 F2 B' R' F' L' B2 R F' B2 U F2 R2 U' L2 U' F2 L2 D' F2 L2;2020-06-21 13:18:56;19.75
22;17.68;;L2 B2 R2 U2 B' L2 D2 R2 B' D2 F2 D' L U' R' B2 D R2 F2 D F';2020-06-21 13:19:51;17.68
23;24.48;;F R' U2 B2 L2 U2 B' R2 B L2 F' U2 F' L2 U' R' B D' U F2;2020-06-21 13:20:26;24.48
24;16.09;;D2 R2 B' R F U D2 R D' R B2 L F2 R2 L U2 L B2 D2 F2 U2;2020-06-21 13:21:19;16.09
25;19.93;;U' R2 D2 F2 D2 B' R2 B L2 R2 U2 B D2 L D2 R B U L' D B2;2020-06-21 13:23:13;19.93
