No.;Time;Comment;Scramble;Date;P.1
1;17.26;;U2 R F2 R' D2 F2 D2 B2 L D2 L2 B2 U B U2 R' D R U B U';2020-06-15 14:11:06;17.26
2;23.33;;L2 R2 U' F2 R2 U2 L2 D2 B2 U B' U2 F' U2 L U' R B U2 L';2020-06-15 14:12:47;23.33
3;21.11;;D B D' B' U F2 U2 R B2 L2 U R2 U2 R2 D' R2 U L2 F';2020-06-15 14:13:30;21.11
4;21.63;;D U2 B' D2 L2 B2 L2 B' D2 B2 L2 F R' F D U2 L' B R B D';2020-06-15 14:14:32;21.63
5;21.49;;R' B' R2 U' L' D' R' F' B2 L' U' D L2 B2 U R2 L2 F2 D2 B2 U;2020-06-15 14:15:15;21.49
6;22.42;;L D2 L F2 U2 L B2 D2 L' D2 L F L' R' B' D2 R' F2 D L2 U;2020-06-15 14:15:52;22.42
7;24.86;;U' F2 D F2 U' R2 D U' R2 F2 U2 R2 F' L F2 L2 R' U' B2 L2 U2;2020-06-15 14:16:34;24.86
8;19.77;;R' D2 R2 U' R2 U' B2 U' F2 R2 U F' D' B L D2 B' U' B2 R';2020-06-15 14:17:22;19.77
9;22.34;;F2 L B' U D2 F L B U2 R' L2 U2 R' B2 R D2 B2 L' U2 F';2020-06-15 14:18:49;22.34
10;21.04;;L' B' R2 D R2 F' U B2 L D L2 F2 R2 L2 D2 L2 U' B2 U L2 D;2020-06-15 14:19:29;21.04
11;17.54;;L2 U2 L2 B2 D2 F R2 B R2 F' U2 F D R2 D F U' L D B';2020-06-15 14:20:18;17.54
12;24.11;;F2 L2 U' R2 D2 L2 F2 D' B2 F2 R2 U R B' D' U' L B2 R2 B' F';2020-06-15 14:21:23;24.11
13;21.13;;U R2 D' L2 B2 R2 B2 F2 U L2 B2 U' R' F2 R' U2 B' D R' U' R;2020-06-15 14:22:11;21.13
14;20.57;;F B2 R2 U F2 L2 R2 U' F2 D2 B2 D' F' L' B D R' F' L' D' B2;2020-06-15 14:23:12;20.57
15;20.28;;L2 D B2 D R2 B2 D' F2 D L2 B' U L D' B U' F D2 U2;2020-06-15 14:23:54;20.28
16;21.30;;U2 B' U R2 B2 L U2 F2 L B2 U2 R' D2 L D' B' D2 L F' U L';2020-06-15 14:26:19;21.30
17;14.19;;D U B2 D U2 R2 B2 R2 B2 R' B' U' R2 U R B D' U';2020-06-15 14:26:56;14.19
18;21.80;;D2 L2 B2 U F2 D' U' F2 L2 D' L2 R2 F' U' L2 F' U' L B L2 B;2020-06-15 14:27:33;21.80
19;18.89;;D' B2 U' F2 D F2 U2 R2 U' F2 U2 F L R2 F D L U2 B' U;2020-06-15 14:28:17;18.89
20;22.71;;L U2 R2 B2 R2 D B2 U R2 D U R2 F L U' R' U2 B2 F2 U2;2020-06-15 14:30:24;22.71
21;15.62;;B' D R' B R F B R2 U2 L U2 D2 L U2 F2 U2 R2 D' B;2020-06-15 14:31:03;15.62
22;23.03;;B' D2 B D2 F' D2 L2 F D2 F2 U2 B R' U' B U' F R D2 B' U2;2020-06-15 14:31:39;23.03
23;18.86;;L2 B2 U2 F2 U L2 D' L2 D2 B2 U L U' B' D2 F' L' U R B' L;2020-06-15 14:32:27;18.86
24;15.42;;D2 B2 U2 R2 F' L2 B2 F L2 U2 L' F2 L B2 R F L' F2;2020-06-15 14:33:06;15.42
25;17.64;;F D2 B2 U2 B2 R2 U2 R' F2 L' F2 U' B L B2 L U2 L2 U';2020-06-15 14:36:26;17.64
