No.;Time;Comment;Scramble;Date;P.1
1;21.95;;B' R U' F2 B2 R2 B2 D B' F2 L2 D2 R U2 B2 D2 R B2 R';2020-06-01 10:57:03;21.95
2;20.77;;D B' R' L D2 B L' D' L2 F2 L2 U' F2 L2 D2 F2 R2 U L U2;2020-06-01 10:57:47;20.77
3;24.89;;L2 R2 F D2 R2 F' D2 R2 U2 F R' D' B' U L' R D U' F L';2020-06-01 10:58:41;24.89
4;23.86;;R U F' B' D2 R' U D' L U2 R2 L2 U B2 R2 D2 B2 U' F2;2020-06-01 10:59:42;23.86
5;24.41;;F R2 B' D2 R2 F2 L2 B' D2 B2 L B L' F U B2 D F' L B;2020-06-01 11:01:51;24.41
6;25.30;;F' L2 U L U' D L' B R U2 B2 L' U2 L' U2 L' U2 B2 R U;2020-06-01 11:02:50;25.30
7;22.95;;B2 U2 F2 D L2 D' R2 B2 L2 D' R2 L F2 L' B L2 B' R2 D R2;2020-06-01 11:03:33;22.95
8;19.81;;L F2 L U' L' D' R' D' L D2 R' F2 D2 L U2 L D2 B2 L2;2020-06-01 11:04:19;19.81
9;19.77;;D2 R' F D' R2 L2 B L' U B2 U B2 L2 U2 L2 U R2 D2 B2 U;2020-06-01 11:05:13;19.77
10;24.32;;L F2 R2 D L2 B2 F2 D' R2 F2 U F2 U' F' L' D2 B' D' R2 D' R';2020-06-01 11:06:04;24.32
11;24.33;;L D' R' L2 F2 U' F B' U' F' L2 F' R2 L2 B D2 L2 F2 L2 B';2020-06-01 11:07:39;24.33
12;DNF(25.77);;U2 R L2 U' L2 D F' R B2 U' D F2 U B2 D' R2 D B2 U L2;2020-06-01 11:08:26;25.77
13;24.82;;U' L2 D2 B2 D2 F D2 F R' F2 U2 B R D' U2 L';2020-06-01 11:09:35;24.82
14;22.25;;F2 D L2 D2 F' R2 F' L2 B' L2 D2 B D' L U' B' R' F' D2 L2;2020-06-01 11:10:19;22.25
15;18.86;;L2 F R' D' R2 F2 B' L F2 D2 L F2 U2 L B2 D2 R' D2 B R;2020-06-01 11:11:10;18.86
16;22.87;;L2 D2 R2 U R2 U' F2 L2 D' F2 L' F R U2 L D L' F' R D';2020-06-01 11:11:55;22.87
17;23.09;;L B2 D2 L2 U R2 D' U' R2 U F R2 U F2 L' U' B2 L2;2020-06-01 11:13:01;23.09
18;21.92;;U B U' F2 L2 R2 D' L2 D U2 R2 U L' B' D2 F2 D2 R U2 L;2020-06-01 11:13:42;21.92
19;DNF(8.47);;D2 B2 L2 F2 R' B2 L' U2 R' B2 D2 U F R U' B L D B2 D2;2020-06-01 11:14:29;8.47
20;20.47;;U F R D R F L2 U' B F2 U L2 F2 U' F2 U' D' L2 D;2020-06-01 11:15:26;20.47
21;17.75;;L' R2 F2 D B2 D2 R2 U F2 U' B2 L2 F' D2 U R2 F L F D2;2020-06-01 11:16:08;17.75
22;24.43;;R2 B2 L U' B' L' F D2 L2 B2 U2 L U2 L D2 R B2 L U';2020-06-01 11:16:45;24.43
23;19.11;;R' D' L' U' F L' B R' F D R2 U' R2 B2 D B2 D2 L2 D' B;2020-06-01 11:17:29;19.11
24;21.48;;D2 R' U2 L2 F2 D2 R B2 F2 D2 R F D' B F2 D2 R' D' U2 B';2020-06-01 11:18:17;21.48
25;21.08;;U2 R2 B' L2 F' L2 R2 B' R B2 F' U B' D' U2 R2 F;2020-06-01 11:19:02;21.08
