No.;Time;Comment;Scramble;Date;P.1
1;20.52;;R2 U R2 B2 D' R2 B2 L2 U2 L2 R' D L2 U2 B' D2 R' F' U R';2020-06-20 12:50:49;20.52
2;19.57;;F2 L2 F' R' B U' R' D L' U' L2 U B2 D2 R2 U' F2 U' L2 B2 D2;2020-06-20 12:51:28;19.57
3;18.75;;D' R L2 F2 B' R' D2 R2 D' U2 F2 B2 R2 F2 R' U2 L' D2 L2;2020-06-20 12:52:12;18.75
4;18.20;;D R' U2 R2 D' B2 U' R2 D R2 B2 U' F2 D2 B' R2 D' R' U L2 U;2020-06-20 12:52:54;18.20
5;16.95;;R F U B R2 D2 B L B' D R2 F2 U' R2 L2 U F2 L2 D L2 U;2020-06-20 12:53:31;16.95
6;20.29;;R2 D2 F2 U F2 U2 R2 D' L2 B2 L2 B' L' B2 D2 F U L' F D';2020-06-20 12:54:19;20.29
7;19.54;;D F2 D' F2 R2 D B2 L2 U L2 R' U' F' L' F' R' B L2 R F2;2020-06-20 12:57:01;19.54
8;20.06;;U B D' F B L' F D2 B2 D2 B2 R2 B2 U B2 D' F2 D B' R;2020-06-20 12:57:39;20.06
9;21.01;;F D2 F2 D2 B' L2 D2 B L2 U2 B F2 L' U2 R' F L2 U R D2;2020-06-20 12:58:24;21.01
10;18.53;;D R' B R2 U F D B2 L F2 D2 L' U2 F2 L2 U2 B2 L' D2 F' D2;2020-06-20 12:59:10;18.53
11;20.73;;L F2 D2 L U' R B' U B2 L2 U2 R2 D2 F2 L2 D' B2 F U2;2020-06-20 12:59:46;20.73
12;20.87;;L' B' D R2 D L2 F2 L2 U B2 D2 R2 F2 U' L B D' U L2 U' B;2020-06-20 13:00:24;20.87
13;18.03;;F2 U2 R2 U B2 F2 U' L2 D B2 D' R D F2 L' B' U2 F U F';2020-06-20 13:01:01;18.03
14;21.43;;B2 R' F2 R' B2 R2 D2 F2 U2 R U2 R' F L' B' D R D2 R2 D';2020-06-20 13:01:56;21.43
15;22.69;;F2 B' D F R2 U D' L' F2 U2 L2 B2 U' B2 U F2 D F2;2020-06-20 13:02:38;22.69
16;17.55;;L2 F' D2 R2 B' U2 L2 B' D2 R2 L F R D2 F U B L F' R2;2020-06-20 13:03:28;17.55
17;19.49;;B2 R2 D2 B' D2 B2 L2 B R2 U2 B' U L F R B' R2 B2 L' F2;2020-06-20 13:04:12;19.49
18;21.48;;D R2 B2 D L2 F' R2 L2 D F2 L' D2 L U2 L2 B2 D2 B2 D2 R2 D2;2020-06-20 13:05:02;21.48
19;15.79;;U R2 D' R2 F2 U F2 R2 D' F2 D L D' F R' B2 D' R B' R' U2;2020-06-20 13:05:43;15.79
20;20.36;;U' R' F L2 D2 L2 F' L2 D2 F' U2 B' U L R2 D F2 R' F2;2020-06-20 13:06:39;20.36
21;23.16;;L2 U2 R' U2 L' D2 R F2 U2 B2 R2 F2 U' L' D' R' B' R2 F';2020-06-20 13:07:21;23.16
22;21.55;;U2 R2 U2 F2 U R2 U2 R2 B2 D' F' U R' B' D' F R' D F U;2020-06-20 13:08:07;21.55
23;15.42;;F2 L U' B R' L B2 D' L' F2 U2 F L2 B D2 R2 L2 F' R2 F2;2020-06-20 13:08:51;15.42
24;22.13;;U F' U2 F U2 B D2 F2 D2 F D2 F U' F D' B' L2 D2 L B';2020-06-20 13:09:38;22.13
25;17.82;;F B D L' D2 B2 U L U F L2 U2 B R2 B D2 F' U2 D2 L2 B2;2020-06-20 13:10:34;17.82
